Question,Answer,Summary,Alternative Prompt 1 (English),Alternative Prompt 2 (Bahasa Indonesia),Expected Result
"Which players have scored more than 2 goals in a single match? Show player_id, player_name, match_no, and total_goals.","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;","This SQL query identifies players who scored more than 2 goals in a single match by joining the goal_details and player_mast tables. It groups by player_id, player_name, and match_no, then filters for groups with COUNT(*) > 2 using HAVING. The primary metric is total_goals per player per match. The output lists hat-trick (or better) performers with their match numbers, useful for analyzing exceptional scoring performances. Modifications could include: 1) Adding match details (date/opponent) for context, 2) Calculating goals as percentage of team total, or 3) Extending the timeframe to find players with multiple high-scoring matches. This query helps answer questions like 'Which players had the most dominant scoring performances?' or 'How frequently do players score hat-tricks?'","Can you show me the players who scored more than 2 goals in one game? I’d like to see their player_id, name, match number, and how many goals they scored.","Tolong tampilkan pemain yang mencetak lebih dari 2 gol dalam satu pertandingan. Saya mau lihat player_id, nama pemain, match_no, dan total golnya.","['player_id', 'player_name', 'match_no', 'total_goals']"
Show all matches where the final score was a draw. Show match_no.,"SELECT 
    md1.match_no
FROM 
    match_details md1
JOIN 
    match_details md2
    ON md1.match_no = md2.match_no
    AND md1.team_id <> md2.team_id
WHERE 
    md1.goal_score = md2.goal_score
GROUP BY 
    md1.match_no, md1.goal_score
ORDER BY 
    md1.match_no;
","This SQL query identifies football matches where both teams scored the same number of goals (draws) by joining the 'match_details' table to itself on matching match numbers but different team IDs, then filtering for equal goal scores. The query groups by match number and goal score to ensure unique results and orders by match number. The output provides a list of drawn matches, which is useful for analyzing competitive balance or team performance under tied conditions. Key modifications could include: (1) adding team names by joining with a 'teams' table to enhance readability, (2) filtering for specific tournaments or dates to analyze draw frequency in particular contexts, or (3) counting total draws per team to assess their tendency to tie. This query could answer questions like 'Which matches ended in draws?' or 'How often does a particular team draw?'.",Show all matches where the final score was a draw. Display the match number.,Tampilkan semua pertandingan yang berakhir imbang. Sertakan nomor pertandingan.,['match_no']
Which teams have won all matches in the group stage? Show team_id and total_wins.,"SELECT team_id, COUNT(*) AS total_wins
  FROM match_details
  WHERE play_stage = 'G' AND win_lose = 'W'
  GROUP BY team_id
  HAVING COUNT(*) = (
  SELECT COUNT(*) FROM match_details md2
  WHERE md2.team_id = match_details.team_id AND play_stage = 'G'
  );","This SQL query identifies teams that won all of their group stage ('G') matches by comparing their win count to their total group stage match count in the match_details table. The query filters for group stage matches (play_stage = 'G') where the team won (win_lose = 'W'), groups by team_id, and uses a HAVING clause with a correlated subquery to verify the win count equals the total group stage match count. The output shows team_ids and their total_wins, highlighting teams with perfect group stage records. This is valuable for analyzing dominant tournament performances. Modifications could include: 1) Adding team names for readability, 2) Extending to knockout stages, or 3) Calculating win percentages for a broader analysis. This query helps answer questions like 'Which teams had perfect group stage records?' or 'How common are undefeated group stage runs?'",Which teams managed to win all their group stage matches? I need to see team_id and how many matches they won.,Tim mana saja yang menang terus di babak grup? Tampilkan team_id dan total menangnya.,"['team_id', 'total_wins']"
"Find referees who officiated more than 3 matches. Show referee_id, referee_name, and total_matches.","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
  FROM match_mast mm
  JOIN referee_mast rm ON mm.referee_id = rm.referee_id
  GROUP BY rm.referee_id, rm.referee_name
  HAVING COUNT(*) > 3;","This SQL query identifies the most active referees by counting the number of matches officiated by each referee from the match_mast and referee_mast tables. The query joins these tables on referee_id, groups by referee information, and filters for referees who have officiated more than 3 matches using HAVING COUNT(*) > 3. The output lists referee IDs, names, and their total match counts, which is useful for assessing referee workload and experience levels. The query could be modified by: 1) Adding match dates to analyze referee assignments over time, 2) Including match stages (group/knockout) to see referee distribution, or 3) Calculating average cards per match to assess strictness. This helps answer questions like 'Which referees are most frequently assigned?' or 'Is there correlation between referee experience and match outcomes?'","Can you list referees who led more than 3 matches? I want their referee_id, name, and total matches they officiated.","Saya ingin tahu wasit yang memimpin lebih dari 3 pertandingan. Tampilkan referee_id, nama wasit, dan jumlah pertandingan.","['referee_id', 'referee_name', 'total_matches']"
"Which players were substituted in and out in the same match? Show player_id, player_name, and match_no.","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
  FROM player_in_out pio
  JOIN player_mast pm ON pio.player_id = pm.player_id
  WHERE EXISTS (
  SELECT 1 FROM player_in_out p2
  WHERE p2.player_id = pio.player_id AND p2.match_no = pio.match_no
  AND p2.in_out != pio.in_out
  );","This SQL query identifies players who were both substituted in and out during the same match by analyzing the player_in_out table. The query joins with player_mast to get player names and uses an EXISTS subquery to find players with both 'in' and 'out' records for the same match. The output lists distinct player IDs, names, and match numbers where this substitution pattern occurred, which helps analyze player rotation strategies and match dynamics. The query could be modified by: 1) Adding match details to understand game context, 2) Calculating time played for these players, or 3) Comparing with match outcomes to assess tactical effectiveness. This helps answer questions like 'Which players frequently get rotated during matches?' or 'How common are temporary substitutions in competitive games?'","Show me which players were both substituted in and out in the same game. Include player_id, name, and match number.","Tampilkan pemain yang pernah diganti masuk dan juga diganti keluar di satu pertandingan yang sama. Sertakan player_id, nama, dan nomor pertandingannya.","['player_id', 'player_name', 'match_no']"
"Identify players who have been booked and also scored in the same match. Show player_id, player_name, and match_no.","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
  FROM player_booked pb
  JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
  JOIN player_mast pm ON pb.player_id = pm.player_id;","This SQL query identifies players who were both booked (received a card) and scored a goal in the same match by joining the player_booked, goal_details, and player_mast tables. The query matches players across booking and goal events for the same match (pb.player_id = gd.player_id AND pb.match_no = gd.match_no), then joins with player_mast to get player names. The output shows distinct player IDs, names, and match numbers where this occurred, highlighting players who were impactful (scoring) but also disciplined (booked) in the same game. This is useful for analyzing player behavior and match dynamics. The query could be modified by: 1) Adding card type (yellow/red) to assess severity, 2) Including match outcome to see if these events affect results, or 3) Calculating time between booking and goal to analyze emotional impact. This helps answer questions like 'Which players frequently combine goals with disciplinary actions?' or 'Does scoring after being booked affect subsequent performance?'","Which players got a card and also scored a goal in the same match? I’d like to see player_id, player name, and match number.","Siapa saja pemain yang dapat kartu dan cetak gol di pertandingan yang sama? Tampilkan player_id, nama pemain, dan nomor pertandingannya.","['player_id', 'player_name', 'match_no']"
"Show teams with more goals for than against in the tournament. Show team_id, goal_for, goal_agnst, and goal_diff.","SELECT team_id, goal_for, goal_agnst, goal_diff
  FROM soccer_team
  WHERE goal_for > goal_agnst;","This SQL query identifies teams with a positive goal difference by selecting records from the soccer_team table where goals scored (goal_for) exceed goals conceded (goal_agnst). The query outputs team_id along with goal statistics (goals for, against, and difference), highlighting teams with effective offensive performance relative to their defense. This basic performance metric is useful for initial team strength assessment. The query could be enhanced by: 1) Joining with team_mast to include team names, 2) Adding win/loss records for comprehensive performance analysis, or 3) Filtering for specific leagues/tournaments. It helps answer fundamental questions like 'Which teams have positive goal differences?' or 'What is the distribution of goal differences across the league?'","Can you list teams that scored more goals than they conceded in the tournament? I want team_id, goal_for, goal_agnst, and goal_diff.","Tampilkan tim-tim yang jumlah gol masuknya lebih banyak dari gol kebobolannya. Saya butuh team_id, goal_for, goal_agnst, dan goal_diff.","['team_id', 'goal_for', 'goal_agnst', 'goal_diff']"
Which goalkeepers (player_gk) appeared in the most matches? Show player_id and match_count.,"SELECT player_gk AS player_id, COUNT(*) AS match_count
  FROM match_details
  WHERE player_gk IS NOT NULL
  GROUP BY player_gk
  ORDER BY match_count DESC;","This SQL query analyzes goalkeeper appearances by counting how many matches each goalkeeper (player_gk) has played from the match_details table. The query filters out null values, groups by goalkeeper ID, and orders results by match count in descending order. The output shows goalkeeper IDs and their total match appearances, which is valuable for assessing goalkeeper utilization and consistency. This query could be enhanced by: 1) Joining with player_mast to include goalkeeper names, 2) Adding clean sheet statistics to evaluate performance, or 3) Filtering by tournament/season for temporal analysis. It helps answer key questions like 'Which goalkeepers have the most appearances?' or 'How is playing time distributed among goalkeepers?'",Who are the goalkeepers that played the most matches? I need their player_id and how many matches they appeared in.,Kiper mana saja yang paling sering tampil sebagai penjaga gawang? Tampilkan player_id dan jumlah pertandingan yang mereka ikuti.,"['player_id', 'match_count']"
"List venues with the highest audience attendance in any match. Show venue_name, city, and max_audience. Sort from highest to lowest","SELECT sv.venue_name, sc.city, MAX(mm.audence) AS max_audience
  FROM match_mast mm
  JOIN soccer_venue sv ON mm.venue_id = sv.venue_id
  JOIN soccer_city sc ON sv.city_id = sc.city_id
  GROUP BY sv.venue_name, sc.city
  ORDER BY max_audience DESC;","This SQL query identifies the maximum audience recorded for each venue by joining the 'match_mast', 'soccer_venue', and 'soccer_city' tables, grouping by venue name and city, and ordering the results by maximum audience in descending order. The query leverages a JOIN operation to link venue and city details with match data, and an aggregation (MAX) to find peak attendance. The output provides a ranked list of venues by their highest recorded attendance, which is valuable for capacity planning, marketing analysis, and venue performance evaluation. Key modifications could include: (1) filtering by date range to analyze audience trends over time, (2) adding average audience alongside maximum to compare consistency versus peak performance, or (3) including country data by joining additional tables to analyze geographic trends. This query could answer questions like 'Which venues have the highest capacity utilization?' or 'Where are the most attended matches typically held?'.","Show me the venues where audience attendance reached the highest. I want venue_name, the city, and the max audience number. Sort from highest.","Venue mana saja yang penontonnya banyak? Saya mau lihat nama venue, kota, dan jumlah penonton terbanyaknya. Urutkan dari yang terbanyak.","['venue_name', 'city', 'max_audience']"
Find players who were never substituted out. Show player_id and player_name.,"SELECT DISTINCT pm.player_id, pm.player_name
  FROM player_mast pm
  WHERE NOT EXISTS (
  SELECT 1 FROM player_in_out pio
  WHERE pio.player_id = pm.player_id AND pio.in_out = 'O'
  );","This SQL query identifies players who were never substituted out of a match by checking for absence in the player_in_out table with in_out = 'O'. The query uses a NOT EXISTS subquery against the player_mast table to find players without any substitution-out records. The output lists distinct player IDs and names who played full matches without being substituted out, which helps analyze player endurance and coach confidence in players. The query could be enhanced by: 1) Adding match count to show how often these players completed full matches, 2) Including position information to see if certain roles are more likely to play full matches, or 3) Filtering by tournament stage to analyze substitution patterns in critical matches. It helps answer questions like 'Which players consistently play full matches?' or 'How common are non-substituted players in the tournament?'",Find the players who were never substituted out in any match. Please show player_id and their name.,Tampilkan pemain yang tidak pernah diganti keluar selama pertandingan. Sertakan player_id dan nama pemainnya.,"['player_id', 'player_name']"
