Question ID,Question,Generated SQL Query,Expected SQL Query,Execution Accuracy
1.1,"Can you show me the players who scored more than 2 goals in one game? I’d like to see their player_id, name, match number, and how many goals they scored.","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS num_goals
FROM goal_details gd
JOIN player_mast pm ON gd.player_id = pm.player_id
GROUP BY gd.player_id, pm.player_name, gd.match_no
HAVING COUNT(*) > 2;","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;",1.0
1.2,"Tolong tampilkan pemain yang mencetak lebih dari 2 gol dalam satu pertandingan. Saya mau lihat player_id, nama pemain, match_no, dan total golnya.","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
FROM goal_details gd
JOIN player_mast pm ON gd.player_id = pm.player_id
GROUP BY gd.player_id, pm.player_name, gd.match_no
HAVING COUNT(*) > 2;","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;",1.0
2.1,I want to know which matches ended with the same goal count for both teams. Please show match number and the goal score.,"SELECT match_no, goal_score FROM match_mast WHERE substring(goal_score FROM '^(\d)') = substring(goal_score FROM '(\d)$');","SELECT match_no, goal_score
  FROM match_mast
  WHERE substring(goal_score FROM '^(\d)') = substring(goal_score FROM '(\d)$');",1.0
2.2,Saya mau tahu pertandingan mana yang jumlah golnya sama antara dua tim. Tampilkan match_no dan skor golnya ya.,"SELECT match_no, goal_score FROM match_mast WHERE goal_score LIKE '__:%__';","SELECT match_no, goal_score
  FROM match_mast
  WHERE substring(goal_score FROM '^(\d)') = substring(goal_score FROM '(\d)$');",0.0
3.1,Which teams managed to win all their group stage matches? I need to see team_id and how many matches they won.,"SELECT team_id, COUNT(*) AS total_wins
FROM match_details
WHERE play_stage = 'G' AND win_lose = 'W'
GROUP BY team_id
HAVING COUNT(*) = (SELECT COUNT(*) FROM match_details md2 WHERE md2.team_id = match_details.team_id AND play_stage = 'G');","SELECT team_id, COUNT(*) AS total_wins
  FROM match_details
  WHERE play_stage = 'G' AND win_lose = 'W'
  GROUP BY team_id
  HAVING COUNT(*) = (
  SELECT COUNT(*) FROM match_details md2
  WHERE md2.team_id = match_details.team_id AND play_stage = 'G'
  );",1.0
3.2,Tim mana saja yang menang terus di babak grup? Tampilkan team_id dan total menangnya.,"SELECT team_id, COUNT(*) AS total_wins
FROM match_details
WHERE play_stage = 'G' AND win_lose = 'W'
GROUP BY team_id
HAVING COUNT(*) = (
    SELECT COUNT(*) 
    FROM match_details md2
    WHERE md2.team_id = match_details.team_id AND play_stage = 'G'
);","SELECT team_id, COUNT(*) AS total_wins
  FROM match_details
  WHERE play_stage = 'G' AND win_lose = 'W'
  GROUP BY team_id
  HAVING COUNT(*) = (
  SELECT COUNT(*) FROM match_details md2
  WHERE md2.team_id = match_details.team_id AND play_stage = 'G'
  );",1.0
4.1,"Can you list referees who led more than 3 matches? I want their referee_id, name, and total matches they officiated.","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
FROM match_mast mm
JOIN referee_mast rm ON mm.referee_id = rm.referee_id
GROUP BY rm.referee_id, rm.referee_name
HAVING COUNT(*) > 3;","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
  FROM match_mast mm
  JOIN referee_mast rm ON mm.referee_id = rm.referee_id
  GROUP BY rm.referee_id, rm.referee_name
  HAVING COUNT(*) > 3;",1.0
4.2,"Saya ingin tahu wasit yang memimpin lebih dari 3 pertandingan. Tampilkan referee_id, nama wasit, dan jumlah pertandingan.","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS num_matches
FROM match_mast mm
JOIN referee_mast rm ON mm.referee_id = rm.referee_id
GROUP BY rm.referee_id, rm.referee_name
HAVING COUNT(*) > 3;","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
  FROM match_mast mm
  JOIN referee_mast rm ON mm.referee_id = rm.referee_id
  GROUP BY rm.referee_id, rm.referee_name
  HAVING COUNT(*) > 3;",1.0
5.1,"Show me which players were both substituted in and out in the same game. Include player_id, name, and match number.","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
FROM player_in_out pio
JOIN player_mast pm ON pio.player_id = pm.player_id
WHERE EXISTS (
    SELECT 1
    FROM player_in_out p2
    WHERE p2.player_id = pio.player_id
    AND p2.match_no = pio.match_no
    AND p2.in_out != pio.in_out
);","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
  FROM player_in_out pio
  JOIN player_mast pm ON pio.player_id = pm.player_id
  WHERE EXISTS (
  SELECT 1 FROM player_in_out p2
  WHERE p2.player_id = pio.player_id AND p2.match_no = pio.match_no
  AND p2.in_out != pio.in_out
  );",1.0
5.2,"Tolong tampilkan pemain yang pernah masuk dan keluar di satu pertandingan. Sertakan player_id, nama pemain, dan match_no-nya.","SELECT DISTINCT pm.player_id, pm.player_name, p.match_no
FROM player_mast pm
JOIN player_in_out p ON pm.player_id = p.player_id;","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
  FROM player_in_out pio
  JOIN player_mast pm ON pio.player_id = pm.player_id
  WHERE EXISTS (
  SELECT 1 FROM player_in_out p2
  WHERE p2.player_id = pio.player_id AND p2.match_no = pio.match_no
  AND p2.in_out != pio.in_out
  );",0.0
