prompt,tables_used,predicted_tables,schema_accuracy,schema_reduction
"Can you show me the players who scored more than 2 goals in one game? I’d like to see their player_id, name, match number, and how many goals they scored.","['goal_details', 'player_mast']","['match_mast', 'goal_details', 'player_mast', 'playing_position', 'penalty_shootout', 'soccer_team']",1.0,0.6666666666666667
Show all matches where the final score was a draw. Display the match number.,['match_details'],"['asst_referee_mast', 'match_captain', 'match_mast', 'player_mast', 'match_details', 'referee_mast', 'soccer_venue', 'soccer_team']",1.0,0.5555555555555556
Which teams managed to win all their group stage matches? I need to see team_id and how many matches they won.,['match_details'],"['match_captain', 'match_mast', 'soccer_country', 'player_mast', 'team_coaches', 'soccer_team']",0.0,0.6666666666666667
"Can you list referees who led more than 3 matches? I want their referee_id, name, and total matches they officiated.","['match_mast', 'referee_mast']","['asst_referee_mast', 'match_captain', 'match_mast', 'soccer_country', 'player_mast', 'match_details', 'referee_mast', 'soccer_venue', 'soccer_team']",1.0,0.5
"Show me which players were both substituted in and out in the same game. Include player_id, name, and match number.","['player_mast', 'player_in_out']","['match_captain', 'match_mast', 'player_mast', 'player_in_out', 'playing_position', 'penalty_shootout', 'soccer_team', 'player_booked']",1.0,0.5555555555555556
"Which players got a card and also scored a goal in the same match? I’d like to see player_id, player name, and match number.","['goal_details', 'player_mast', 'player_booked']","['match_mast', 'goal_details', 'player_mast', 'playing_position', 'soccer_venue', 'soccer_team', 'player_booked']",1.0,0.6111111111111112
"Can you list teams that scored more goals than they conceded in the tournament? I want team_id, goal_for, goal_agnst, and goal_diff.",['soccer_team'],"['asst_referee_mast', 'match_mast', 'goal_details', 'player_mast', 'match_details', 'penalty_shootout', 'penalty_gk', 'soccer_team']",1.0,0.5555555555555556
Who are the goalkeepers that played the most matches? I need their player_id and how many matches they appeared in.,['match_details'],"['match_captain', 'match_mast', 'player_mast', 'playing_position', 'penalty_gk', 'soccer_team', 'player_booked']",0.0,0.6111111111111112
"Show me the venues where audience attendance reached the highest. I want venue_name, the city, and the max audience number. Sort from highest.","['soccer_venue', 'match_mast', 'soccer_city']","['match_mast', 'soccer_country', 'soccer_city', 'player_mast', 'playing_position', 'referee_mast', 'soccer_venue', 'soccer_team', 'player_booked']",1.0,0.5
Find the players who were never substituted out in any match. Please show player_id and their name.,"['player_mast', 'player_in_out']","['match_mast', 'player_mast', 'player_in_out', 'playing_position', 'penalty_shootout', 'soccer_team', 'player_booked']",1.0,0.6111111111111112
"Which matches had 3 or more players from the same team getting booked? Show match number, team_id, and how many players were booked.",['player_booked'],"['match_captain', 'match_mast', 'player_mast', 'playing_position', 'soccer_team', 'player_booked']",1.0,0.6666666666666667
"Can you show players who scored in both the first and second halves of a game? I want player_id, name, and match number.","['goal_details', 'player_mast']","['match_mast', 'goal_details', 'player_mast', 'playing_position', 'penalty_shootout', 'soccer_team', 'player_booked']",1.0,0.6111111111111112
"Which players were both involved in goals and received bookings? Show their player_id, name, and how many goals and bookings.","['goal_details', 'player_mast', 'player_booked']","['match_mast', 'goal_details', 'player_mast', 'playing_position', 'penalty_shootout', 'soccer_venue', 'soccer_team', 'player_booked']",1.0,0.5555555555555556
List matches where both assistant referees were from the same country. Show match number and country_id.,"['asst_referee_mast', 'match_details']","['asst_referee_mast', 'soccer_venue', 'match_captain', 'match_mast', 'soccer_country', 'player_mast', 'referee_mast', 'penalty_gk', 'soccer_team']",0.5,0.5
Who are the goalkeepers that played for more than one team? Show their player_id and number of teams.,['match_details'],"['match_mast', 'player_mast', 'playing_position', 'penalty_shootout', 'penalty_gk', 'soccer_team']",0.0,0.6666666666666667
"Which venues hosted more than 3 different matches? Please show venue_id, venue name, and match count.","['soccer_venue', 'match_mast']","['match_captain', 'match_mast', 'soccer_country', 'player_mast', 'referee_mast', 'soccer_venue', 'soccer_team', 'player_booked']",1.0,0.5555555555555556
"List cities that had matches with more than 50,000 audience members. Show city, match_no, and audience.","['soccer_venue', 'match_mast', 'soccer_city']","['match_captain', 'match_mast', 'soccer_country', 'player_mast', 'referee_mast', 'soccer_venue', 'soccer_team', 'soccer_city']",1.0,0.5555555555555556
Which teams had more than 2 different coaches? Show team_id and how many coaches they had.,['team_coaches'],"['coach_mast', 'match_captain', 'match_mast', 'player_mast', 'team_coaches', 'soccer_team']",1.0,0.6666666666666667
Find players who’ve played over 3 matches and have never received any bookings in any of those games. Show their player_id and how many matches they’ve played.,"['match_mast', 'player_mast', 'player_booked', 'player_in_out']","['match_captain', 'match_mast', 'player_mast', 'player_in_out', 'playing_position', 'soccer_team', 'player_booked']",1.0,0.6111111111111112
"Which referees handled matches with average audience over 40,000? I want referee_id, name, and average audience.","['match_mast', 'referee_mast']","['asst_referee_mast', 'soccer_venue', 'match_mast', 'soccer_country', 'player_mast', 'match_details', 'referee_mast', 'penalty_gk', 'soccer_team']",1.0,0.5
"Which captains also managed to score unique goals? I want to see their player_id, name, number of goals, and how many matches they were captain.","['goal_details', 'match_captain', 'player_mast']","['coach_mast', 'match_captain', 'match_mast', 'goal_details', 'player_mast', 'playing_position', 'penalty_shootout', 'soccer_team', 'player_booked']",1.0,0.5
List all teams where there is a player that has been both booked and scored in the same match. Show team_id and match_no.,"['goal_details', 'player_booked']","['match_captain', 'match_mast', 'goal_details', 'player_mast', 'playing_position', 'soccer_team', 'player_booked']",1.0,0.6111111111111112
"What is the total number of substitutions (counting both in and out) per match, divided by 2? Show match_no and average_subs.",['player_in_out'],"['match_mast', 'player_mast', 'player_in_out', 'penalty_shootout', 'soccer_team', 'player_booked']",1.0,0.6666666666666667
Which cities had matches where the player of the match also scored? Show me unique city name and match number.,"['goal_details', 'soccer_venue', 'match_mast', 'soccer_city']","['match_captain', 'match_mast', 'soccer_country', 'goal_details', 'player_mast', 'referee_mast', 'soccer_venue', 'soccer_team', 'soccer_city']",1.0,0.5
Which matches had all goals scored in the first half only? Show match number and number of goals.,['goal_details'],"['asst_referee_mast', 'match_mast', 'goal_details', 'player_mast', 'match_details', 'penalty_shootout', 'soccer_team']",1.0,0.6111111111111112
Which teams have high goal difference divided by match played? I need team_id and the average value. Sort by value descending,['soccer_team'],"['match_captain', 'match_mast', 'goal_details', 'player_mast', 'penalty_shootout', 'soccer_team']",1.0,0.6666666666666667
