prompt,tables_used,predicted_tables,schema_accuracy,schema_reduction
Can you tell me which faculty did the most research projects? I just need their name (nama) and the number of projects (total_proyek).,"['fakultas', 'proyekpenelitian']","['proyekpenelitian', 'fakultas', 'publikasi', 'mahasiswa', 'dosen', 'partisipasipenelitian', 'jurusan']",1.0,0.6818181818181819
I’m curious which lecturer guides the most students. Please show their name (nama) and how many students they supervise (total_mahasiswa_dibimbing).,"['mahasiswa', 'dosen']","['proyekpenelitian', 'fakultas', 'keanggotaanklub', 'dosen', 'mahasiswa', 'catatankehadiran', 'sesi', 'partisipasipenelitian', 'organisasiklub', 'jurusan']",1.0,0.5454545454545454
Which student joined the most sessions? I want to see their name (nama) and how many sessions they attended (total_kehadiran).,"['mahasiswa', 'catatankehadiran']","['proyekpenelitian', 'fakultas', 'publikasi', 'keanggotaanklub', 'dosen', 'mahasiswa', 'catatankehadiran', 'sesi', 'partisipasipenelitian', 'organisasiklub', 'enrolmenkelas', 'jurusan']",1.0,0.4545454545454546
What are the top 5 most popular courses? Show me the course title (judul) and how many students joined (total_mahasiswa).,"['matakuliah', 'sesi', 'enrolmenkelas']","['matakuliah', 'kelas', 'proyekpenelitian', 'fakultas', 'keanggotaanklub', 'dosen', 'mahasiswa', 'catatankehadiran', 'sesi', 'partisipasipenelitian', 'organisasiklub', 'jurusan']",0.6666666666666666,0.4545454545454546
Which faculty uses the most facilities? I need the faculty name (nama) and the number of facilities used (total_fasilitas).,"['fakultas', 'fasilitasfakultas']","['fakultas', 'mahasiswa', 'dosen', 'fasilitas', 'jurusan', 'fasilitasfakultas']",1.0,0.7272727272727273
Which course has the best average exam score? Show me the title (judul) and the average score (rata_rata_nilai).,"['matakuliah', 'hasilujian', 'ujian']","['fakultas', 'ujian', 'keanggotaanklub', 'dosen', 'mahasiswa', 'hasilujian', 'catatankehadiran', 'sesi', 'organisasiklub', 'bukuperpustakaan', 'jurusan', 'peminjamanbuku']",0.6666666666666666,0.4545454545454546
Who is the lecturer with the most publications? Just show their name (nama) and how many they’ve authored (total_publikasi).,"['publikasi', 'penulispublikasi', 'dosen']","['proyekpenelitian', 'fakultas', 'publikasi', 'dosen', 'mahasiswa', 'partisipasipenelitian', 'penulispublikasi', 'organisasiklub']",1.0,0.6363636363636364
Which student has joined the most research projects? I need their name (nama) and the total number (total_partisipasi).,"['partisipasipenelitian', 'mahasiswa']","['proyekpenelitian', 'fakultas', 'dosen', 'mahasiswa', 'catatankehadiran', 'sesi', 'partisipasipenelitian', 'enrolmenkelas', 'jurusan']",1.0,0.5909090909090908
"Who’s borrowed the most books among students, if tie show smallest student id? Please show the ID (id_peminjam) and total borrow count (total_peminjaman).","['mahasiswa', 'peminjamanbuku']","['fakultas', 'ujian', 'keanggotaanklub', 'dosen', 'mahasiswa', 'hasilujian', 'organisasiklub', 'bukuperpustakaan', 'jurusan', 'peminjamanbuku']",1.0,0.5454545454545454
Which club has the most members? Show the name (nama) and total members (total_anggota).,"['keanggotaanklub', 'organisasiklub']","['fakultas', 'keanggotaanklub', 'mahasiswa', 'dosen', 'organisasiklub', 'bukuperpustakaan', 'jurusan', 'peminjamanbuku']",1.0,0.6363636363636364
"Which student has the highest exam score total? I want to see id_mahasiswa, nama, and total_score.","['mahasiswa', 'hasilujian']","['fakultas', 'ujian', 'keanggotaanklub', 'dosen', 'mahasiswa', 'hasilujian', 'catatankehadiran', 'sesi', 'organisasiklub', 'jurusan']",1.0,0.5454545454545454
"Can you list all faculties and show how many research projects, publications, and active lecturers each has? Show nama, total_proyek, total_publikasi, total_dosen_aktif.","['dosen', 'fakultas', 'proyekpenelitian', 'penulispublikasi', 'publikasi']","['proyekpenelitian', 'fakultas', 'ujian', 'publikasi', 'keanggotaanklub', 'dosen', 'mahasiswa', 'hasilujian', 'catatankehadiran', 'sesi', 'partisipasipenelitian', 'penulispublikasi', 'organisasiklub']",1.0,0.40909090909090906
"Which lecturer has taught the most different subjects? Show me their id_dosen, nama, and how many subjects (total_mk_diajar).","['matakuliah', 'sesi', 'dosen']","['proyekpenelitian', 'fakultas', 'keanggotaanklub', 'dosen', 'mahasiswa', 'catatankehadiran', 'sesi', 'partisipasipenelitian', 'organisasiklub', 'jurusan']",0.6666666666666666,0.5454545454545454
