Question ID,Question,Generated SQL Query,Expected SQL Query,Execution Accuracy
1.1,"Can you show me the players who scored more than 2 goals in one game? I’d like to see their player_id, name, match number, and how many goals they scored.","SELECT 
    gd.player_id, 
    pm.player_name, 
    gd.match_no, 
    COUNT(gd.goal_id) AS goals_scored
FROM 
    goal_details gd
JOIN 
    player_mast pm ON gd.player_id = pm.player_id
GROUP BY 
    gd.player_id, pm.player_name, gd.match_no
HAVING 
    COUNT(gd.goal_id) > 2;","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;",1.0
1.2,"Tolong tampilkan pemain yang mencetak lebih dari 2 gol dalam satu pertandingan. Saya mau lihat player_id, nama pemain, match_no, dan total golnya.","SELECT 
    gd.player_id, 
    pm.player_name, 
    gd.match_no, 
    COUNT(gd.goal_id) AS total_goals
FROM 
    goal_details gd
JOIN 
    player_mast pm ON gd.player_id = pm.player_id
GROUP BY 
    gd.player_id, pm.player_name, gd.match_no
HAVING 
    COUNT(gd.goal_id) > 2;","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;",1.0
2.1,Show all matches where the final score was a draw. Display the match number.,SELECT match_no FROM match_mast WHERE results ILIKE '%draw%';,"SELECT 
    md1.match_no
FROM 
    match_details md1
JOIN 
    match_details md2
    ON md1.match_no = md2.match_no
    AND md1.team_id <> md2.team_id
WHERE 
    md1.goal_score = md2.goal_score
GROUP BY 
    md1.match_no, md1.goal_score
ORDER BY 
    md1.match_no;
",0.0
2.2,Tampilkan semua pertandingan yang berakhir imbang. Sertakan nomor pertandingan.,"SELECT match_no 
FROM match_mast 
WHERE results ILIKE 'draw' OR results ILIKE 'drawn' OR results ILIKE 'tie' OR results ILIKE 'd';","SELECT 
    md1.match_no
FROM 
    match_details md1
JOIN 
    match_details md2
    ON md1.match_no = md2.match_no
    AND md1.team_id <> md2.team_id
WHERE 
    md1.goal_score = md2.goal_score
GROUP BY 
    md1.match_no, md1.goal_score
ORDER BY 
    md1.match_no;
",0.0
4.1,"Can you list referees who led more than 3 matches? I want their referee_id, name, and total matches they officiated.","SELECT rm.referee_id, rm.referee_name, COUNT(mm.match_no) AS total_matches
FROM referee_mast rm
JOIN match_mast mm ON rm.referee_id = mm.referee_id
GROUP BY rm.referee_id, rm.referee_name
HAVING COUNT(mm.match_no) > 3;","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
  FROM match_mast mm
  JOIN referee_mast rm ON mm.referee_id = rm.referee_id
  GROUP BY rm.referee_id, rm.referee_name
  HAVING COUNT(*) > 3;",1.0
4.2,"Saya ingin tahu wasit yang memimpin lebih dari 3 pertandingan. Tampilkan referee_id, nama wasit, dan jumlah pertandingan.","SELECT referee_id, referee_name, COUNT(match_no) AS jumlah_pertandingan
FROM match_mast
JOIN referee_mast USING (referee_id)
GROUP BY referee_id, referee_name
HAVING COUNT(match_no) > 3;","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
  FROM match_mast mm
  JOIN referee_mast rm ON mm.referee_id = rm.referee_id
  GROUP BY rm.referee_id, rm.referee_name
  HAVING COUNT(*) > 3;",1.0
5.1,"Show me which players were both substituted in and out in the same game. Include player_id, name, and match number.","SELECT pio.player_id, pm.player_name, pio.match_no
FROM player_in_out pio
JOIN player_mast pm ON pio.player_id = pm.player_id
WHERE pio.player_id IN (
    SELECT player_id
    FROM player_in_out
    GROUP BY match_no, player_id
    HAVING COUNT(DISTINCT in_out) = 2
)
ORDER BY pio.match_no, pio.player_id;","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
  FROM player_in_out pio
  JOIN player_mast pm ON pio.player_id = pm.player_id
  WHERE EXISTS (
  SELECT 1 FROM player_in_out p2
  WHERE p2.player_id = pio.player_id AND p2.match_no = pio.match_no
  AND p2.in_out != pio.in_out
  );",0.0
5.2,"Tampilkan pemain yang pernah diganti masuk dan juga diganti keluar di satu pertandingan yang sama. Sertakan player_id, nama, dan nomor pertandingannya.","SELECT pio.player_id, pm.player_name, pio.match_no
FROM player_in_out pio
JOIN player_mast pm ON pio.player_id = pm.player_id
WHERE pio.in_out = 'I'
AND EXISTS (
    SELECT 1
    FROM player_in_out pio2
    WHERE pio2.match_no = pio.match_no
      AND pio2.player_id = pio.player_id
      AND pio2.in_out = 'O'
)
GROUP BY pio.player_id, pm.player_name, pio.match_no;","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
  FROM player_in_out pio
  JOIN player_mast pm ON pio.player_id = pm.player_id
  WHERE EXISTS (
  SELECT 1 FROM player_in_out p2
  WHERE p2.player_id = pio.player_id AND p2.match_no = pio.match_no
  AND p2.in_out != pio.in_out
  );",1.0
6.1,"Which players got a card and also scored a goal in the same match? I’d like to see player_id, player name, and match number.","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
FROM player_booked pb
JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
JOIN player_mast pm ON pb.player_id = pm.player_id;","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
  FROM player_booked pb
  JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
  JOIN player_mast pm ON pb.player_id = pm.player_id;",1.0
6.2,"Siapa saja pemain yang dapat kartu dan cetak gol di pertandingan yang sama? Tampilkan player_id, nama pemain, dan nomor pertandingannya.","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
FROM player_booked pb
JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
JOIN player_mast pm ON pb.player_id = pm.player_id;","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
  FROM player_booked pb
  JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
  JOIN player_mast pm ON pb.player_id = pm.player_id;",1.0
