prompt,tables_used
Total pendapatan kita tahun 1997 berapa sih? Tampilkan sebagai '1997 Total Revenues'.,"['order_details', 'orders']"
Tiap customer udah bayar ke kita totalnya berapa? Tampilkan 'CompanyName' dan totalnya sebagai 'Total'.,"['customers', 'order_details', 'orders']"
10 produk paling laku berdasarkan pendapatan setelah didiskonkan? Tampilkan 'ProductName' dan 'Sales amount'.,"['order_details', 'products']"
Customer dari UK yang bayar lebih dari $1000 siapa aja? Tampilkan 'ContactName' dan 'Payments'.,"['customers', 'order_details', 'orders']"
"Berapa total pembayaran yang dilakukan oleh setiap customer, termasuk yang tidak melakukan pembelian sama sekali, dan berapa yang berasal dari tahun 1997? Tampilkan CustomerID, CompanyName, dan Country, serta total pendapatan sebagai Customer Total dan pendapatan tahun 1997 sebagai 1997, urutkan berdasarkan Customer Total.","['customers', 'order_details', 'orders']"
"Top 1 Karyawan mana yang paling banyak urus order? Tampilkan 'employee_id', 'first_name', 'last_name', 'total_orders'.","['employees', 'orders']"
5 negara dengan jumlah customer terbanyak? Tampilkan 'country' dan 'total_customers'.,['customers']
"Top 1 supplier mana yang punya produk paling banyak? Tampilkan 'supplier_id', 'company_name', 'product_count'.","['products', 'suppliers']"
"Total unit terjual per produk? Tampilkan 'product_id', 'product_name', 'total_units_sold'.","['order_details', 'products']"
Top 1 region mana yang punya territory paling banyak? Tampilkan 'region_id' dan 'total_territories'.,"['region', 'territories']"
"Top 1 shipper mana yang paling sering dipakai? Tampilkan 'shipper_id', 'company_name', 'shipment_count'.","['orders', 'shippers']"
Total ongkir per negara berapa aja? Tampilkan 'ship_country' dan 'total_freight'.,['orders']
"Top 1 karyawan mana yang hasilin penjualan paling gede? Tampilkan 'employee_id', 'first_name', 'last_name', 'total_sales'.","['employees', 'order_details', 'orders']"
"Top 1 produk mana yang hasilin duit paling banyak? Tampilkan 'product_id', 'product_name', 'revenue'.","['order_details', 'products']"
"Rata-rata order per customer berapa? Tampilkan 'total_customers', 'total_orders', 'average_orders_per_customer'.","['customers', 'orders']"
"Top 1 kategori mana yang punya produk paling banyak? Tampilkan 'category_id', 'category_name', 'product_count'.","['categories', 'products']"
Pendapatan per bulan selama 1997? Tampilkan 'month' dan 'monthly_revenue'.,"['order_details', 'orders']"
3 kota dengan jumlah order terbanyak? Tampilkan 'city' dan 'total_orders'.,['orders']
"Top 1 customer mana yang membeli produk paling beragam? Tampilkan 'customer_id', 'company_name', dan 'distinct_product_count', dan ambil satu customer teratas berdasarkan jumlah produk berbeda yang dibeli.","['customers', 'order_details', 'orders']"
"Top 5 supplier mana yang ngirim produk paling mahal rata-rata? Tampilkan 'supplier_id', 'company_name', 'average_price'.","['products', 'suppliers']"
Rata-rata diskon per order berapa? Tampilkan 'order_id' dan 'average_discount'. Urutkan berdasarkan id,['order_details']
"Siapa 5 karyawan teratas yang menangani wilayah kerja (territory) dari jumlah region yang paling banyak? Tampilkan 'employee_id', 'first_name', 'last_name', dan 'region_count'.","['employee_territories', 'employees', 'territories']"
"Customer siapa saja yang total order-nya lebih dari 10.000 unit? Tampilkan 'customer_id', 'company_name', 'total_units_ordered'.","['customers', 'order_details', 'orders']"
Tahun mana yang pendapatannya paling tinggi? Tampilkan 'year' dan 'total_revenue'.,"['order_details', 'orders']"
"Top 1 kategori produk mana yang harga rata-ratanya paling tinggi? Tampilkan 'category_id', 'category_name', 'average_price'.","['categories', 'products']"
"Top 1 karyawan mana yang punya bawahan paling banyak? Tampilkan 'employee_id', 'first_name', 'last_name', 'report_count'.",['employees']
"Produk apa aja yang lagi kosong stoknya? Tampilkan 'product_id', 'product_name', 'units_in_stock'.",['products']
Top 1 negara mana yang punya supplier paling banyak? Tampilkan 'country' dan 'supplier_count'.,['suppliers']
Top 3 kota mana yang punya customer paling banyak? Tampilkan 'city' dan 'customer_count'.,['customers']
"Jumlah produk discontinue per kategori gimana? Tampilkan 'category_id', 'category_name', 'discontinued_count'.","['categories', 'products']"
Customer mana yang belum pernah order sama sekali? Tampilkan 'customer_id' dan 'company_name'.,"['customers', 'orders']"
"Top 1 shipper mana yang ongkir rata-ratanya paling mahal? Tampilkan 'shipper_id', 'company_name', 'avg_freight'.","['orders', 'shippers']"
"Karyawan siapa saja yang udah ngurus minimal 10 order? Tampilkan 'first_name', 'last_name', 'total_orders_handled'.","['employees', 'orders']"
"Jumlah order per tahun dan bulan berapa aja? Tampilkan 'order_year', 'order_month', 'no_of_orders'.",['orders']
Jumlah customer per region berapa? Tampilkan 'region' dan 'total_customers'.,['customers']
Produk yang belum pernah diorder dan suppliernya apa aja? Tampilkan 'product_name' dan 'supplier_name'.,"['order_details', 'products', 'suppliers']"
Jumlah karyawan per region berapa? Tampilkan 'region_description' dan 'total_employees'.,"['employee_territories', 'employees', 'region', 'territories']"
Siapa aja karyawan yang belum pernah ngurus order? Tampilkan 'first_name' dan 'last_name'.,"['employees', 'orders']"
"Produk apa aja yang stoknya udah di bawah level reorder? Tampilkan 'product_name', 'units_in_stock', 'reorder_level'.",['products']
"Karyawan siapa saja yang ngurus territory di lebih dari 1 region? Tampilkan 'first_name', 'last_name', 'total_regions'.","['employee_territories', 'employees', 'region', 'territories']"
"Order mana saja yang dikirim lebih lambat dari tanggal yang diminta? Tampilkan 'order_id', 'customer_name', dan 'delay_in_days' (jumlah hari keterlambatan).","['customers', 'orders']"
Produk yang paling jarang diorder apa? Tampilkan 'product_name' dan 'total_quantity_ordered'.,"['order_details', 'products']"
"Jumlah customer per negara, dari yang paling banyak ke dikit? Tampilkan 'country' dan 'total_customers'.",['customers']
"Top 1 customer mana yang pernah bikin order paling mahal? Tampilkan 'customer_name', 'order_id', 'order_value'.","['customers', 'order_details', 'orders']"
"Top 3 karyawan yang handle customer unik paling banyak? Tampilkan 'first_name', 'last_name', 'unique_customers'.","['employees', 'orders']"
Top 1 kategori produk paling populer berdasarkan jumlah order? Tampilkan 'category_name' dan 'total_quantity'.,"['categories', 'order_details', 'products']"
Tampilkan nama customer (bukan nama perusahaan) dan berapa banyak karyawan berbeda yang pernah menangani pesanan mereka. Tampilkan 'customer_name' dan 'employee_count'.,"['customers', 'orders']"
Jumlah order per negara tujuan pengiriman berapa aja? Tampilkan 'ship_country' dan 'total_orders'.,['orders']
"Jumlah order per shipper per tahun berapa aja? Tampilkan 'shipper_name', 'order_year', 'order_count'.","['orders', 'shippers']"
Berapa banyak produk berbeda yang pernah dibeli lebih dari satu kali oleh setiap customer? Tampilkan customer sebagai customer_name dan jumlah produk yang diulang sebagai repeated_products.,"['customers', 'order_details', 'orders']"
How much money did we make in 1997 total? Show it as '1997 Total Revenues'.,"['order_details', 'orders']"
How much has each customer paid overall? Show 'CompanyName' and total as 'Total'.,"['customers', 'order_details', 'orders']"
"What are our top 10 most sold products, looking from revenue after getting discounted? Show 'ProductName' and 'Sales amount'.","['order_details', 'products']"
Which UK customers paid more than $1000? Show 'ContactName' and 'Payments'.,"['customers', 'order_details', 'orders']"
"How much has each customer paid in total, including those who didn’t make any purchases, and how much of that was paid in 1997? Please include the CustomerID, CompanyName, and Country, and show the total revenue as Customer Total and the 1997 revenue as 1997, sorted by Customer Total.","['customers', 'order_details', 'orders']"
"Which top 1 employee handled the most orders? Show 'employee_id', 'first_name', 'last_name', 'total_orders'.","['employees', 'orders']"
Top 5 countries with the most customers? Show 'country' and 'total_customers'.,['customers']
"Which top 1 supplier offer the most products? Show 'supplier_id', 'company_name', 'product_count'.","['products', 'suppliers']"
"How many units sold for each product? Show 'product_id', 'product_name', 'total_units_sold'.","['order_details', 'products']"
Which top 1 region have the most territories? Show 'region_id' and 'total_territories'.,"['region', 'territories']"
"Which top 1 shipping company was used the most? Show 'shipper_id', 'company_name', 'shipment_count'.","['orders', 'shippers']"
Total freight costs per country? Show 'ship_country' and 'total_freight'.,['orders']
"Who top 1 sold the most? Show 'employee_id', 'first_name', 'last_name', 'total_sales'.","['employees', 'order_details', 'orders']"
"Which top 1 product made the most money? Show 'product_id', 'product_name', 'revenue'.","['order_details', 'products']"
"On average, how many times each customer order? Show 'total_customers', 'total_orders', 'average_orders_per_customer'.","['customers', 'orders']"
"Which top 1 category has the most products? Show 'category_id', 'category_name', 'product_count'.","['categories', 'products']"
"Monthly revenue for 1997? Show 'month', 'monthly_revenue'.","['order_details', 'orders']"
Top 3 cities with the most orders? Show 'city' and 'total_orders'.,['orders']
