prompt,tables_used
"Can you show me the players who scored more than 2 goals in one game? I’d like to see their player_id, name, match number, and how many goals they scored.","['goal_details', 'player_mast']"
Show all matches where the final score was a draw. Display the match number.,['match_details']
Which teams managed to win all their group stage matches? I need to see team_id and how many matches they won.,['match_details']
"Can you list referees who led more than 3 matches? I want their referee_id, name, and total matches they officiated.","['match_mast', 'referee_mast']"
"Show me which players were both substituted in and out in the same game. Include player_id, name, and match number.","['player_mast', 'player_in_out']"
"Which players got a card and also scored a goal in the same match? I’d like to see player_id, player name, and match number.","['goal_details', 'player_mast', 'player_booked']"
"Can you list teams that scored more goals than they conceded in the tournament? I want team_id, goal_for, goal_agnst, and goal_diff.",['soccer_team']
Who are the goalkeepers that played the most matches? I need their player_id and how many matches they appeared in.,['match_details']
"Show me the venues where audience attendance reached the highest. I want venue_name, the city, and the max audience number. Sort from highest.","['soccer_venue', 'match_mast', 'soccer_city']"
Find the players who were never substituted out in any match. Please show player_id and their name.,"['player_mast', 'player_in_out']"
"Which matches had 3 or more players from the same team getting booked? Show match number, team_id, and how many players were booked.",['player_booked']
"Can you show players who scored in both the first and second halves of a game? I want player_id, name, and match number.","['goal_details', 'player_mast']"
"Which players were both involved in goals and received bookings? Show their player_id, name, and how many goals and bookings.","['goal_details', 'player_mast', 'player_booked']"
List matches where both assistant referees were from the same country. Show match number and country_id.,"['asst_referee_mast', 'match_details']"
Who are the goalkeepers that played for more than one team? Show their player_id and number of teams.,['match_details']
"Which venues hosted more than 3 different matches? Please show venue_id, venue name, and match count.","['soccer_venue', 'match_mast']"
"List cities that had matches with more than 50,000 audience members. Show city, match_no, and audience.","['soccer_venue', 'match_mast', 'soccer_city']"
Which teams had more than 2 different coaches? Show team_id and how many coaches they had.,['team_coaches']
Find players who’ve played over 3 matches and have never received any bookings in any of those games. Show their player_id and how many matches they’ve played.,"['match_mast', 'player_mast', 'player_booked', 'player_in_out']"
"Which referees handled matches with average audience over 40,000? I want referee_id, name, and average audience.","['match_mast', 'referee_mast']"
"Which captains also managed to score unique goals? I want to see their player_id, name, number of goals, and how many matches they were captain.","['goal_details', 'match_captain', 'player_mast']"
List all teams where there is a player that has been both booked and scored in the same match. Show team_id and match_no.,"['goal_details', 'player_booked']"
"What is the total number of substitutions (counting both in and out) per match, divided by 2? Show match_no and average_subs.",['player_in_out']
Which cities had matches where the player of the match also scored? Show me unique city name and match number.,"['goal_details', 'soccer_venue', 'match_mast', 'soccer_city']"
Which matches had all goals scored in the first half only? Show match number and number of goals.,['goal_details']
Which teams have high goal difference divided by match played? I need team_id and the average value. Sort by value descending,['soccer_team']
Show assistant referees who officiated matches with above average audience. I want the referee name and the average.,"['match_mast', 'asst_referee_mast', 'match_details']"
Which matches had more than 5 total substitutions? Show match number and how many subs.,['player_in_out']
Which countries had referees that officiated more than 2 matches? I want the country name and number of matches.,"['match_mast', 'soccer_country', 'referee_mast']"
List matches where the goalkeeper was also the one who scored a goal. Show match number and player ID.,"['goal_details', 'match_details']"
Which matches had goalkeepers who were also the team captains? Show match number and player ID.,"['match_captain', 'match_details']"
"List players who scored and also got subbed out in the same game. Show unique player_id, name, and match number.","['goal_details', 'player_mast', 'player_in_out']"
Which matches had at least one goal scored during stoppage time (ST)? Please give match number and goal_id.,['goal_details']
Find games where both teams had players getting booked. Show match number and how many teams got cards.,['player_booked']
Which coaches were assigned to more than one team? Show coach_id and how many teams.,['team_coaches']
"List cities whose venues together can seat more than 100,000 people. Show city and total capacity.","['soccer_venue', 'soccer_city']"
Find matches where a player took part in a penalty shootout (dont consider success or not) and also scored a non-penalty goal. Show match_no and player_id.,"['goal_details', 'penalty_shootout']"
"Which teams let in more goals than they scored? I need team_id, goal_for, and goal_agnst.",['soccer_team']
Find players who changed teams but kept the same jersey number. Show player_id and jersey_no.,['player_mast']
List referees who have officiated matches in more than one city. Show referee_id and how many cities.,"['soccer_venue', 'match_mast', 'referee_mast', 'soccer_city']"
Which matches had players from more than 3 different clubs scoring goals? Show match number and number of clubs.,"['goal_details', 'player_mast']"
