prompt,tables_used,predicted_tables,schema_accuracy,schema_reduction
Total pendapatan kita tahun 1997 berapa sih? Tampilkan sebagai '1997 Total Revenues'.,"['order_details', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Tiap customer udah bayar ke kita totalnya berapa? Tampilkan 'CompanyName' dan totalnya sebagai 'Total'.,"['customers', 'order_details', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
10 produk paling laku berdasarkan pendapatan setelah didiskonkan? Tampilkan 'ProductName' dan 'Sales amount'.,"['order_details', 'products']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Customer dari UK yang bayar lebih dari $1000 siapa aja? Tampilkan 'ContactName' dan 'Payments'.,"['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Berapa total pembayaran yang dilakukan oleh setiap customer, termasuk yang tidak melakukan pembelian sama sekali, dan berapa yang berasal dari tahun 1997? Tampilkan CustomerID, CompanyName, dan Country, serta total pendapatan sebagai Customer Total dan pendapatan tahun 1997 sebagai 1997, urutkan berdasarkan Customer Total.","['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.3571428571428571
"Top 1 Karyawan mana yang paling banyak urus order? Tampilkan 'employee_id', 'first_name', 'last_name', 'total_orders'.","['employees', 'orders']","['suppliers', 'employee_territories', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'products', 'territories']",1.0,0.3571428571428571
5 negara dengan jumlah customer terbanyak? Tampilkan 'country' dan 'total_customers'.,['customers'],"['customer_customer_demo', 'orders', 'customer_demographics', 'customers']",1.0,0.7142857142857143
"Top 1 supplier mana yang punya produk paling banyak? Tampilkan 'supplier_id', 'company_name', 'product_count'.","['products', 'suppliers']","['suppliers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
"Total unit terjual per produk? Tampilkan 'product_id', 'product_name', 'total_units_sold'.","['order_details', 'products']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Top 1 region mana yang punya territory paling banyak? Tampilkan 'region_id' dan 'total_territories'.,"['region', 'territories']","['us_states', 'employee_territories', 'employees', 'region', 'territories']",1.0,0.6428571428571428
"Top 1 shipper mana yang paling sering dipakai? Tampilkan 'shipper_id', 'company_name', 'shipment_count'.","['orders', 'shippers']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Total ongkir per negara berapa aja? Tampilkan 'ship_country' dan 'total_freight'.,['orders'],"['suppliers', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5
"Top 1 karyawan mana yang hasilin penjualan paling gede? Tampilkan 'employee_id', 'first_name', 'last_name', 'total_sales'.","['employees', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.3571428571428571
"Top 1 produk mana yang hasilin duit paling banyak? Tampilkan 'product_id', 'product_name', 'revenue'.","['order_details', 'products']","['suppliers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
"Rata-rata order per customer berapa? Tampilkan 'total_customers', 'total_orders', 'average_orders_per_customer'.","['customers', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products', 'customer_demographics']",1.0,0.2857142857142857
"Top 1 kategori mana yang punya produk paling banyak? Tampilkan 'category_id', 'category_name', 'product_count'.","['categories', 'products']","['suppliers', 'employee_territories', 'categories', 'order_details', 'orders', 'products', 'region', 'territories']",1.0,0.4285714285714286
Pendapatan per bulan selama 1997? Tampilkan 'month' dan 'monthly_revenue'.,"['order_details', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
3 kota dengan jumlah order terbanyak? Tampilkan 'city' dan 'total_orders'.,['orders'],"['employees', 'customers', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
"Top 1 customer mana yang membeli produk paling beragam? Tampilkan 'customer_id', 'company_name', dan 'distinct_product_count', dan ambil satu customer teratas berdasarkan jumlah produk berbeda yang dibeli.","['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products', 'customer_demographics']",1.0,0.2857142857142857
"Top 5 supplier mana yang ngirim produk paling mahal rata-rata? Tampilkan 'supplier_id', 'company_name', 'average_price'.","['products', 'suppliers']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Rata-rata diskon per order berapa? Tampilkan 'order_id' dan 'average_discount'. Urutkan berdasarkan id,['order_details'],"['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Siapa 5 karyawan teratas yang menangani wilayah kerja (territory) dari jumlah region yang paling banyak? Tampilkan 'employee_id', 'first_name', 'last_name', dan 'region_count'.","['employee_territories', 'employees', 'territories']","['suppliers', 'us_states', 'customer_customer_demo', 'employee_territories', 'employees', 'customers', 'orders', 'region', 'products', 'territories']",1.0,0.2857142857142857
"Customer siapa saja yang total order-nya lebih dari 10.000 unit? Tampilkan 'customer_id', 'company_name', 'total_units_ordered'.","['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products', 'customer_demographics']",1.0,0.2857142857142857
Tahun mana yang pendapatannya paling tinggi? Tampilkan 'year' dan 'total_revenue'.,"['order_details', 'orders']","['suppliers', 'categories', 'order_details', 'orders', 'products']",1.0,0.6428571428571428
"Top 1 kategori produk mana yang harga rata-ratanya paling tinggi? Tampilkan 'category_id', 'category_name', 'average_price'.","['categories', 'products']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Top 1 karyawan mana yang punya bawahan paling banyak? Tampilkan 'employee_id', 'first_name', 'last_name', 'report_count'.",['employees'],"['customer_customer_demo', 'employee_territories', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'customer_demographics', 'territories']",1.0,0.3571428571428571
"Produk apa aja yang lagi kosong stoknya? Tampilkan 'product_id', 'product_name', 'units_in_stock'.",['products'],"['suppliers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
Top 1 negara mana yang punya supplier paling banyak? Tampilkan 'country' dan 'supplier_count'.,['suppliers'],"['suppliers', 'categories', 'order_details', 'orders', 'products']",1.0,0.6428571428571428
Top 3 kota mana yang punya customer paling banyak? Tampilkan 'city' dan 'customer_count'.,['customers'],"['customer_customer_demo', 'orders', 'customer_demographics', 'customers']",1.0,0.7142857142857143
"Jumlah produk discontinue per kategori gimana? Tampilkan 'category_id', 'category_name', 'discontinued_count'.","['categories', 'products']","['suppliers', 'categories', 'shippers', 'order_details', 'region', 'orders', 'products', 'territories']",1.0,0.4285714285714286
Customer mana yang belum pernah order sama sekali? Tampilkan 'customer_id' dan 'company_name'.,"['customers', 'orders']","['customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'customer_demographics']",1.0,0.5
"Top 1 shipper mana yang ongkir rata-ratanya paling mahal? Tampilkan 'shipper_id', 'company_name', 'avg_freight'.","['orders', 'shippers']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.3571428571428571
"Karyawan siapa saja yang udah ngurus minimal 10 order? Tampilkan 'first_name', 'last_name', 'total_orders_handled'.","['employees', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Jumlah order per tahun dan bulan berapa aja? Tampilkan 'order_year', 'order_month', 'no_of_orders'.",['orders'],"['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Jumlah customer per region berapa? Tampilkan 'region' dan 'total_customers'.,['customers'],"['customer_customer_demo', 'orders', 'customer_demographics', 'customers']",1.0,0.7142857142857143
Produk yang belum pernah diorder dan suppliernya apa aja? Tampilkan 'product_name' dan 'supplier_name'.,"['order_details', 'products', 'suppliers']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Jumlah karyawan per region berapa? Tampilkan 'region_description' dan 'total_employees'.,"['employee_territories', 'employees', 'region', 'territories']","['employee_territories', 'employees', 'orders', 'region', 'territories']",1.0,0.6428571428571428
Siapa aja karyawan yang belum pernah ngurus order? Tampilkan 'first_name' dan 'last_name'.,"['employees', 'orders']","['suppliers', 'employee_territories', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'products', 'territories']",1.0,0.3571428571428571
"Produk apa aja yang stoknya udah di bawah level reorder? Tampilkan 'product_name', 'units_in_stock', 'reorder_level'.",['products'],"['suppliers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
"Karyawan siapa saja yang ngurus territory di lebih dari 1 region? Tampilkan 'first_name', 'last_name', 'total_regions'.","['employee_territories', 'employees', 'region', 'territories']","['suppliers', 'us_states', 'customer_customer_demo', 'employee_territories', 'employees', 'customers', 'orders', 'region', 'products', 'territories']",1.0,0.2857142857142857
"Order mana saja yang dikirim lebih lambat dari tanggal yang diminta? Tampilkan 'order_id', 'customer_name', dan 'delay_in_days' (jumlah hari keterlambatan).","['customers', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Produk yang paling jarang diorder apa? Tampilkan 'product_name' dan 'total_quantity_ordered'.,"['order_details', 'products']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Jumlah customer per negara, dari yang paling banyak ke dikit? Tampilkan 'country' dan 'total_customers'.",['customers'],"['customer_customer_demo', 'orders', 'customer_demographics', 'customers']",1.0,0.7142857142857143
"Top 1 customer mana yang pernah bikin order paling mahal? Tampilkan 'customer_name', 'order_id', 'order_value'.","['customers', 'order_details', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Top 3 karyawan yang handle customer unik paling banyak? Tampilkan 'first_name', 'last_name', 'unique_customers'.","['employees', 'orders']","['customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'customer_demographics']",1.0,0.5
Top 1 kategori produk paling populer berdasarkan jumlah order? Tampilkan 'category_name' dan 'total_quantity'.,"['categories', 'order_details', 'products']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Tampilkan nama customer (bukan nama perusahaan) dan berapa banyak karyawan berbeda yang pernah menangani pesanan mereka. Tampilkan 'customer_name' dan 'employee_count'.,"['customers', 'orders']","['customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'customer_demographics']",1.0,0.5
Jumlah order per negara tujuan pengiriman berapa aja? Tampilkan 'ship_country' dan 'total_orders'.,['orders'],"['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Jumlah order per shipper per tahun berapa aja? Tampilkan 'shipper_name', 'order_year', 'order_count'.","['orders', 'shippers']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Berapa banyak produk berbeda yang pernah dibeli lebih dari satu kali oleh setiap customer? Tampilkan customer sebagai customer_name dan jumlah produk yang diulang sebagai repeated_products.,"['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products', 'customer_demographics']",1.0,0.2857142857142857
How much money did we make in 1997 total? Show it as '1997 Total Revenues'.,"['order_details', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
How much has each customer paid overall? Show 'CompanyName' and total as 'Total'.,"['customers', 'order_details', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"What are our top 10 most sold products, looking from revenue after getting discounted? Show 'ProductName' and 'Sales amount'.","['order_details', 'products']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.3571428571428571
Which UK customers paid more than $1000? Show 'ContactName' and 'Payments'.,"['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"How much has each customer paid in total, including those who didn’t make any purchases, and how much of that was paid in 1997? Please include the CustomerID, CompanyName, and Country, and show the total revenue as Customer Total and the 1997 revenue as 1997, sorted by Customer Total.","['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products', 'customer_demographics']",1.0,0.2857142857142857
"Which top 1 employee handled the most orders? Show 'employee_id', 'first_name', 'last_name', 'total_orders'.","['employees', 'orders']","['suppliers', 'employee_territories', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'products', 'territories']",1.0,0.3571428571428571
Top 5 countries with the most customers? Show 'country' and 'total_customers'.,['customers'],"['customer_customer_demo', 'orders', 'customer_demographics', 'customers']",1.0,0.7142857142857143
"Which top 1 supplier offer the most products? Show 'supplier_id', 'company_name', 'product_count'.","['products', 'suppliers']","['suppliers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
"How many units sold for each product? Show 'product_id', 'product_name', 'total_units_sold'.","['order_details', 'products']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Which top 1 region have the most territories? Show 'region_id' and 'total_territories'.,"['region', 'territories']","['us_states', 'employee_territories', 'employees', 'region', 'territories']",1.0,0.6428571428571428
"Which top 1 shipping company was used the most? Show 'shipper_id', 'company_name', 'shipment_count'.","['orders', 'shippers']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Total freight costs per country? Show 'ship_country' and 'total_freight'.,['orders'],"['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Who top 1 sold the most? Show 'employee_id', 'first_name', 'last_name', 'total_sales'.","['employees', 'order_details', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Which top 1 product made the most money? Show 'product_id', 'product_name', 'revenue'.","['order_details', 'products']","['suppliers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
"On average, how many times each customer order? Show 'total_customers', 'total_orders', 'average_orders_per_customer'.","['customers', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products', 'customer_demographics']",1.0,0.2857142857142857
"Which top 1 category has the most products? Show 'category_id', 'category_name', 'product_count'.","['categories', 'products']","['suppliers', 'employee_territories', 'categories', 'order_details', 'orders', 'products', 'region', 'territories']",1.0,0.4285714285714286
"Monthly revenue for 1997? Show 'month', 'monthly_revenue'.","['order_details', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Top 3 cities with the most orders? Show 'city' and 'total_orders'.,['orders'],"['employees', 'customers', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
"Who’s the top customer that bought the most different products? Show their customer_id, company_name, and how many unique products they’ve purchased as distinct_product_count. Just return the top one based on that count.","['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products', 'customer_demographics']",1.0,0.2857142857142857
"Which top 5 suppliers ship the priciest stuff on average? Show 'supplier_id', 'company_name', 'average_price'.","['products', 'suppliers']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
What’s the average discount per order? Show 'order_id' and 'average_discount'. Order by id,['order_details'],"['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Who are the top 5 employees working across the most different regions based on their assigned territories? Show 'employee_id', 'first_name', 'last_name', and 'region_count'.","['employee_territories', 'employees', 'territories']","['suppliers', 'us_states', 'customer_customer_demo', 'employee_territories', 'employees', 'customers', 'orders', 'region', 'products', 'territories']",1.0,0.2857142857142857
"Which customers ordered over 10,000 units? Show 'customer_id', 'company_name', 'total_units_ordered'.","['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products', 'customer_demographics']",1.0,0.2857142857142857
Which year made the most revenue? Show 'year' and 'total_revenue'.,"['order_details', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Which product category has the highest average price? Show 'category_id', 'category_name', 'average_price'.","['categories', 'products']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Which top 1 employee manages the most subordinates? Show 'employee_id', 'first_name', 'last_name', 'report_count'.",['employees'],"['customer_customer_demo', 'employee_territories', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'customer_demographics', 'territories']",1.0,0.3571428571428571
"Which products are out of stock now? Show 'product_id', 'product_name', 'units_in_stock'.",['products'],"['suppliers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
Which top 1 country has the most suppliers? Show 'country' and 'supplier_count'.,['suppliers'],"['suppliers', 'categories', 'order_details', 'orders', 'products']",1.0,0.6428571428571428
Which top 3 cities have the most customers? Show 'city' and 'customer_count'.,['customers'],"['customer_customer_demo', 'orders', 'customer_demographics', 'customers']",1.0,0.7142857142857143
"How many discontinued products are in each category? Show 'category_id', 'category_name', 'discontinued_count'.","['categories', 'products']","['suppliers', 'categories', 'shippers', 'order_details', 'region', 'orders', 'products', 'territories']",1.0,0.4285714285714286
Which customers never ordered anything? Show 'customer_id' and 'company_name'.,"['customers', 'orders']","['customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'customer_demographics']",1.0,0.5
"Which top 1 shipper has the highest average freight cost? Show 'shipper_id', 'company_name', 'avg_freight'.","['orders', 'shippers']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.3571428571428571
"Who handled at least 10 orders? Show 'first_name', 'last_name', 'total_orders_handled'.","['employees', 'orders']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Total orders per year and month? Show 'order_year', 'order_month', 'no_of_orders'.",['orders'],"['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
How many customers are there per region? Show 'region' and 'total_customers'.,['customers'],"['customer_customer_demo', 'orders', 'customer_demographics', 'customers']",1.0,0.7142857142857143
List products that were never ordered and their suppliers. Show 'product_name' and 'supplier_name'.,"['order_details', 'products', 'suppliers']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
How many employees are there in each region? Show 'region_description' and 'total_employees'.,"['employee_territories', 'employees', 'region', 'territories']","['employee_territories', 'employees', 'orders', 'region', 'territories']",1.0,0.6428571428571428
Which employees never handled any orders? Show 'first_name' and 'last_name'.,"['employees', 'orders']","['suppliers', 'employee_territories', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'products', 'territories']",1.0,0.3571428571428571
"Which products are below reorder level in stock? Show 'product_name', 'units_in_stock', 'reorder_level'.",['products'],"['suppliers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.5714285714285714
"Which employees are assigned to territories that belong to more than one region? Show 'first_name', 'last_name', and the number of unique regions as 'total_regions'.","['employee_territories', 'employees', 'region', 'territories']","['us_states', 'customer_customer_demo', 'employee_territories', 'employees', 'customers', 'orders', 'region', 'territories']",1.0,0.4285714285714286
"Which orders were shipped late? Show 'order_id', 'customer_name', and 'delay_in_days'.","['customers', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
Which product got ordered the least? Show 'product_name' and 'total_quantity_ordered'.,"['order_details', 'products']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Customers per country, most to least? Show 'country' and 'total_customers'.",['customers'],"['customer_customer_demo', 'orders', 'customer_demographics', 'customers']",1.0,0.7142857142857143
"Who top 1 placed the most expensive order? Show 'customer_name', 'order_id', 'order_value'.","['customers', 'order_details', 'orders']","['suppliers', 'customer_customer_demo', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products', 'customer_demographics']",1.0,0.2857142857142857
"Top 3 employees with the most distinct customers? Show 'first_name', 'last_name', 'unique_customers'.","['employees', 'orders']","['customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'customer_demographics']",1.0,0.5
Top 1 popular category by quantity ordered? Show 'category_name' and 'total_quantity'.,"['categories', 'order_details', 'products']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"Show customers (not company) and how many employees they’ve dealt with. Show 'customer_name', 'employee_count'.","['customers', 'orders']","['customer_customer_demo', 'employees', 'customers', 'shippers', 'order_details', 'orders', 'customer_demographics']",1.0,0.5
Total orders per country shipped to? Show 'ship_country' and 'total_orders'.,['orders'],"['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
"How many orders per shipper per year? Show 'shipper_name', 'order_year', 'order_count'.","['orders', 'shippers']","['suppliers', 'employees', 'customers', 'categories', 'shippers', 'order_details', 'orders', 'products']",1.0,0.4285714285714286
