Question,Answer,Summary,Alternative Prompt 1 (English),Alternative Prompt 2 (Bahasa Indonesia),Expected Result
"Which faculty has the most research projects? If there is a tie, show any of the tying faculty. Show the nama and total_proyek.","SELECT f.nama, COUNT(p.id_proyek) AS total_proyek
  FROM Fakultas f
  JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  GROUP BY f.nama
  ORDER BY total_proyek DESC
  LIMIT 1;","This SQL query identifies the faculty with the highest number of research projects by joining the 'Fakultas' (Faculty) and 'ProyekPenelitian' (Research Projects) tables. It counts projects per faculty and returns the faculty with the most projects, highlighting research activity distribution across faculties. The output helps academic institutions understand research productivity and allocate resources effectively. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top faculty. The query can be modified to: 1) include time periods to analyze research trends, 2) add funding amounts to assess financial impact, or 3) filter by project status to focus on active research. It helps answer questions like 'Which faculty leads in research output?' and 'How should research funding be allocated across faculties?'",Can you tell me which faculty did the most research projects? I just need their name (nama) and the number of projects (total_proyek).,Fakultas mana yang paling banyak bikin proyek penelitian? Tampilkan nama (nama) dan jumlah proyeknya (total_proyek).,"['nama', 'total_proyek']"
"Which lecturer supervises the most students? If there is a tie, show any of the tying lecturer. Show nama and total_mahasiswa_dibimbing.","SELECT d.nama, COUNT(m.id_mahasiswa) AS total_mahasiswa_dibimbing
  FROM Dosen d
  JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing
  GROUP BY d.nama
  ORDER BY total_mahasiswa_dibimbing DESC
  LIMIT 1;","This SQL query identifies the lecturer supervising the most students by joining the 'Dosen' (Lecturers) and 'Mahasiswa' (Students) tables. It counts the number of students supervised by each lecturer and returns the lecturer with the highest count, providing insights into academic advising workloads. The output helps academic institutions balance advising responsibilities and recognize faculty contributions. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top lecturer. The query can be modified to: 1) include student academic performance metrics to assess advising effectiveness, 2) filter by student year to analyze advising distribution across classes, or 3) add department information to understand advising patterns across disciplines. It helps answer questions like 'Which lecturer has the heaviest advising load?' and 'How should advising responsibilities be distributed among faculty?'",I’m curious which lecturer guides the most students. Please show their name (nama) and how many students they supervise (total_mahasiswa_dibimbing).,Dosen mana yang ngebimbing mahasiswa paling banyak? Aku butuh namanya (nama) dan total mahasiswa bimbingannya (total_mahasiswa_dibimbing).,"['nama', 'total_mahasiswa_dibimbing']"
"Which student has attended the most sessions? If there is a tie, show any of the student. Show nama and total_kehadiran.","SELECT m.nama, COUNT(k.id_kehadiran) AS total_kehadiran
  FROM Mahasiswa m
  JOIN CatatanKehadiran k ON m.id_mahasiswa = k.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_kehadiran DESC
  LIMIT 1;","This SQL query identifies the student with the highest attendance record by joining the 'Mahasiswa' (Students) and 'CatatanKehadiran' (Attendance Records) tables. It counts attendance records per student and returns the student with the most attendances, highlighting exemplary attendance behavior. The output helps academic institutions recognize students with perfect attendance and monitor class participation. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top student. The query can be modified to: 1) filter by date range to analyze attendance patterns during specific periods, 2) include course information to identify attendance by subject, or 3) calculate attendance percentages rather than absolute counts. It helps answer questions like 'Which student has the best attendance record?' and 'How can we improve overall class attendance rates?'",Which student joined the most sessions? I want to see their name (nama) and how many sessions they attended (total_kehadiran).,Mahasiswa mana yang paling rajin ikut sesi kelas? Kasih liat nama (nama) dan jumlah kehadirannya (total_kehadiran).,"['nama', 'total_kehadiran']"
"What are the top 5 courses with the highest number of enrolled students? If there is a tie, show only top 5 with any of the tying courses. Show judul and total_mahasiswa.","SELECT mk.judul, COUNT(e.id_mahasiswa) AS total_mahasiswa
  FROM MataKuliah mk
  JOIN Sesi s ON mk.id_mk = s.id_mk
  JOIN EnrolmenKelas e ON s.id_sesi = e.id_sesi
  GROUP BY mk.judul
  ORDER BY total_mahasiswa DESC
  LIMIT 5;","This SQL query identifies the top 5 most popular courses by counting student enrollments across class sessions. It joins the 'MataKuliah' (Courses), 'Sesi' (Class Sessions), and 'EnrolmenKelas' (Class Enrollments) tables to track student registration in each course. The output helps academic institutions understand course demand and allocate teaching resources effectively. Key operations include multi-table JOINs, COUNT aggregation, and ORDER BY with LIMIT to highlight the most enrolled courses. The query can be modified to: 1) filter by semester to analyze enrollment trends over time, 2) include instructor information to assess teaching popularity, or 3) calculate enrollment percentages relative to class capacity. It helps answer questions like 'Which courses are in highest demand?' and 'How should we allocate classroom resources?'",What are the top 5 most popular courses? Show me the course title (judul) and how many students joined (total_mahasiswa).,Top 5 matkul yang paling banyak diambil siapa aja ya? Tampilkan judul matkulnya (judul) dan jumlah mahasiswa (total_mahasiswa).,"['judul', 'total_mahasiswa']"
"Which faculty uses the most facilities? If there is a tie, show any of the tying faculty. Show nama and total_fasilitas.","SELECT f.nama, COUNT(ff.id_fasilitas) AS total_fasilitas
  FROM Fakultas f
  JOIN FasilitasFakultas ff ON f.id_fakultas = ff.id_fakultas
  GROUP BY f.nama
  ORDER BY total_fasilitas DESC 
  LIMIT 1;","This SQL query identifies the faculty with the highest number of associated facilities by joining the 'Fakultas' and 'FasilitasFakultas' tables on 'id_fakultas', counting the number of facilities per faculty (via COUNT on 'id_fasilitas'), grouping by faculty name, and returning only the top result using ORDER BY and LIMIT. The output includes the faculty name and its corresponding total facility count, useful for assessing resource concentration or allocation across faculties. Analysts could modify this query to return the top N faculties by adjusting or removing the LIMIT clause, or to include additional faculty metadata (e.g., faculty head or location) by joining with other related tables. The query could support questions like 'Which faculty manages the most physical assets?' or 'Are facilities distributed evenly across faculties?'.",Which faculty uses the most facilities? I need the faculty name (nama) and the number of facilities used (total_fasilitas).,Fakultas mana yang paling banyak pake fasilitas? Aku mau liat nama (nama) dan jumlah fasilitasnya (total_fasilitas).,"['nama', 'total_fasilitas']"
"Which course has the highest average exam score? If there is a tie, show any of the tying courses. Show judul and rata_rata_nilai.","SELECT mk.judul, AVG(h.nilai_diperoleh) AS rata_rata_nilai
  FROM MataKuliah mk
  JOIN Ujian u ON mk.id_mk = u.id_mk
  JOIN HasilUjian h ON u.id_ujian = h.id_ujian
  GROUP BY mk.judul
  ORDER BY rata_rata_nilai DESC
  LIMIT 1;","This SQL query identifies the course with the highest average exam scores by joining the 'MataKuliah' (Courses), 'Ujian' (Exams), and 'HasilUjian' (Exam Results) tables. It calculates the average exam score for each course and returns the course with the highest average, providing insight into academic performance across different subjects. The output helps educators identify teaching strengths and potentially recognize effective instructional methods. Key operations include multi-table JOINs, AVG aggregation, and ORDER BY with LIMIT to highlight the top-performing course. The query can be modified to: 1) filter by semester to analyze performance trends over time, 2) include instructor information to assess teaching effectiveness, or 3) compare with enrollment numbers to examine the relationship between class size and performance. It helps answer questions like 'Which course has the highest student achievement?' and 'What teaching methods contribute to better exam results?'",Which course has the best average exam score? Show me the title (judul) and the average score (rata_rata_nilai).,Matkul mana yang nilai ujiannya paling tinggi rata-ratanya? Kasih tau judul (judul) dan nilai rata-rata (rata_rata_nilai).,"['judul', 'rata_rata_nilai']"
"Which lecturer has authored the most publications? If there is a tie, show any of the tying lecturer. Show nama and total_publikasi.","SELECT d.nama, COUNT(p.id_publikasi) AS total_publikasi
  FROM Dosen d
  JOIN PenulisPublikasi pp ON d.id_dosen = pp.id_dosen
  JOIN Publikasi p ON pp.id_publikasi = p.id_publikasi
  GROUP BY d.nama
  ORDER BY total_publikasi DESC
  LIMIT 1;","This SQL query identifies the most published faculty member by counting publications per lecturer across the 'Dosen' (Lecturers), 'PenulisPublikasi' (Publication Authors), and 'Publikasi' (Publications) tables. It returns the lecturer with the highest publication count, highlighting research productivity. The output helps academic institutions recognize research excellence and inform promotion decisions. Key operations include multi-table JOINs, COUNT aggregation, and ORDER BY with LIMIT to identify the top researcher. The query can be modified to: 1) filter by publication year to analyze recent productivity, 2) include publication impact metrics, or 3) group by department to compare research output across disciplines. It helps answer questions like 'Who is our most published faculty member?' and 'How should we allocate research resources?'",Who is the lecturer with the most publications? Just show their name (nama) and how many they’ve authored (total_publikasi).,Dosen mana yang paling banyak nulis publikasi? Tunjukin namanya (nama) dan total publikasinya (total_publikasi).,"['nama', 'total_publikasi']"
"Which student has participated in the most research projects? If there is a tie, show any of the tying student. Show nama and total_partisipasi.","SELECT m.nama, COUNT(pp.id_proyek) AS total_partisipasi
  FROM Mahasiswa m
  JOIN PartisipasiPenelitian pp ON m.id_mahasiswa = pp.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_partisipasi DESC
  LIMIT 1;","This SQL query identifies the student with the highest research participation by counting research projects per student across the 'Mahasiswa' (Students) and 'PartisipasiPenelitian' (Research Participation) tables. It returns the student involved in the most research projects, highlighting undergraduate research engagement. The output helps academic institutions recognize research-active students and assess undergraduate research opportunities. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top participant. The query can be modified to: 1) filter by project type to analyze participation in specific research areas, 2) include project outcomes to assess student research impact, or 3) group by academic year to track participation trends. It helps answer questions like 'Which student is most engaged in research?' and 'How can we increase undergraduate research opportunities?'",Which student has joined the most research projects? I need their name (nama) and the total number (total_partisipasi).,Mahasiswa mana yang paling sering ikut proyek penelitian? Tunjukin namanya (nama) dan jumlah partisipasinya (total_partisipasi).,"['nama', 'total_partisipasi']"
"Which student has borrowed the most books? If there is a tie, show any of the tying student. Show id_peminjam and total_peminjaman.","SELECT id_peminjam, COUNT(*) AS total_peminjaman
  FROM PeminjamanBuku
  GROUP BY id_peminjam
  ORDER BY total_peminjaman DESC
  LIMIT 1;","This SQL query identifies the most active library user by counting book loans per borrower from the 'PeminjamanBuku' (Book Loans) table. It returns the borrower with the highest number of book loans, highlighting library engagement. The output helps libraries recognize frequent users and assess collection utilization. Key operations include COUNT aggregation and ORDER BY with LIMIT to identify the top borrower. The query can be modified to: 1) include loan dates to analyze borrowing patterns over time, 2) join with book data to identify popular genres, or 3) filter by loan status to focus on current checkouts. It helps answer questions like 'Who is our most engaged library user?' and 'How can we encourage more library usage?'",Who’s borrowed the most books among students? Please show the ID (id_peminjam) and total borrow count (total_peminjaman).,Mahasiswa mana yang paling sering minjem buku? Aku mau ID-nya (id_peminjam) dan total pinjamannya (total_peminjaman).,"['id_peminjam', 'total_peminjaman']"
"Which club has the most active members? If there is a tie, show any of the tying club. Show nama and total_anggota.","SELECT k.nama, COUNT(kk.id_mahasiswa) AS total_anggota
  FROM OrganisasiKlub k
  JOIN KeanggotaanKlub kk ON k.id_klub = kk.id_klub
  GROUP BY k.nama
  ORDER BY total_anggota DESC
  LIMIT 1;","This SQL query identifies the most popular student club by counting members per club across the 'OrganisasiKlub' (Club Organizations) and 'KeanggotaanKlub' (Club Memberships) tables. It returns the club with the highest membership count, providing insight into student engagement in extracurricular activities. The output helps student affairs offices understand club popularity and allocate resources accordingly. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top club. The query can be modified to: 1) include member demographics to analyze participation patterns, 2) filter by academic year to track club popularity trends, or 3) join with event data to assess club activity levels. It helps answer questions like 'Which student club has the most members?' and 'How can we support student engagement in extracurriculars?'",Which club has the most members? Show the name (nama) and total members (total_anggota).,Klub mana yang anggotanya paling banyak? Kasih tau nama klubnya (nama) dan jumlah anggota (total_anggota).,"['nama', 'total_anggota']"
