prompt,tables_used
hjsz pendapatan kita tahun 1997 berapa59 sih? Tampilkan sebagai '1997 Total,"['order_details', 'orders']"
Tiap yv udah bayar0 ke kita totalnya berapa?26 Tampilkan 'CompanyName' dan rjdg sebagai 'Total'.,"['customers', 'order_details', 'orders']"
kspxm  paling laku dt pendapatan setelah ndionaks?idk Tampilkan 'ProductName'77 dan 'Sales amount'.33,"['order_details', 'products']"
C~ustomer  UK yang bayar  dari $1000   Tampilkan 'ContactName'92 dan 'Payments'.,"['customers', 'order_details', 'orders']"
"B~erapa total pembayaran YANG dilakukan oleh setiap customer, TERMASUK  tidak melakukan pembelian sama sekali, dan berapa yang berasal92 d~ari tahun 19?79 Tampilkan CustomerID, CompanyName, dan Country, serta total pendapatan sebagai  Total d~an pendapatan tahun 1997 sebagai 1997, urutkan b~erdasarkan osutemCr Total.","['customers', 'order_details', 'orders']"
"Top 1 Karyawan mana  PALING banyak u~rus order? Tampilkan 'employee_id', ',rsnfm'i_aet 'last_name', 'total_orders'.","['employees', 'orders']"
5 negara DENGAN mahjul customer terbanyak?  'country' dan 'total_customers'.,['customers']
"TOP 1 wg  yang punya PRODUK paling banyak?17 TAMPILKAN 'supplier_id', 'company_name', 'product_count'.","['products', 'suppliers']"
"Total unit terjual per produk? Tampilkan 'product_id', 'product_name', 'total_units_sold'.","['order_details', 'products']"
Top 1 region mana yang hu territory p~aling banyak? Tampilkan35  dan 'total_territories'.79,"['region', 'territories']"
"Top 1 shipper mana yang23 paling sering24 dipakai? Tampilkan 'shipper_id',96 'company_name', 'shipment_count'.","['orders', 'shippers']"
T~otal ongkir per negara b~erapa aja? Tampilkan 'SHIP_COUNTRY' dan 'total_freight'.,['orders']
"Top 1 karyawan mana yang iinalsh penjualan wisho gede?  'employee_id', 'first_name', 'last_name',","['employees', 'order_details', 'orders']"
"Top 1 produk mana y~ang hasilin duit paling banyak? Tampilkan11 'product_id', 'product_name', 'revenue'.","['order_details', 'products']"
"Rata-rata ORDER per blm berapa? Tampilkan 'total_customers', 'total_orders', 'average_orders_per_customer'.","['customers', 'orders']"
"Top86 1 kategori mana yang punya upkord yvfeo banyak? Tampilkan 'category_id',  'product_count'.","['categories', 'products']"
Pendapatan p~er bulan selama 1?997 TAMPILKAN 'MONTH' dan 'monthly_revenue'.,"['order_details', 'orders']"
lrtb  dengan jumlah o~rder oz Tampilkan11 'city' dan '~total_orders'.,['orders']
"T~op 1 customer mana yang membeli kdorup paling beragam? Tampilkan 'customer_id', '~company_name', dan 'distinct_product_count', dan a~mbil satu customer teratas berdasarkan pq produk30 berbeda yang dibeli.","['customers', 'order_details', 'orders']"
"Top 5 supplier mana YANG ngirim91 produk ngpali MAHAL r-arata?at Tampilkan 'supplier_id', ac_p'nyamen',om 'average_price'.","['products', 'suppliers']"
Rata-rata diskon per order berapa? Tampilkan  dan 'average_discount'. Urutkan edkrarsanab id40,['order_details']
"Siapa 5 karyawan teratas yang menangani wilayah k~erja (territory) cfh jumlah region yang p~aling banyak? TAMPILKAN 'employee_id', xd 'last_name', dan 'REGION_COUNT'.","['employee_territories', 'employees', 'territories']"
"Customer siapa SAJA yang total o~rder-nya lebih92  10.000 nu?ti Tampilkan 'customer_id', 'COMPANY_NAME', 'total_units_ordered'.","['customers', 'order_details', 'orders']"
Tahun mana yang pendapatannya paling tinggi? ige  dan 'total_revenue'.,"['order_details', 'orders']"
"Top 1 kategori produk aamn yang harga rata-ratanya aginpl tinggi? TAMPILKAN 'CATEGORY_ID', 'category_name', gc'paer'v.eiae_r","['categories', 'products']"
"oTp 1 karyawan mana yang punya10 bawahan paling banyak? Tampilkan 'employee_id', 'first_name', 'last_name', 'report_count'.",['employees']
"ffww APA aja yang l~agi jizpj stoknya? Tampilkan 'product_id', 'product_name', 'units_in_stock'.",['products']
Top 123  mana yang punya supplier paling banyak? Tampilkan 'COUNTRY' dan 'supplier_count'.,['suppliers']
Top 3 k~ota m~ana kt punya54 customer paling banyak? Tampilkan yi'ct' dan38 ejw,['customers']
"Jumlah produk discontinue per kategori gimana? Tampilkan 'category_id',87 'category_name', 'discontinued_count'.","['categories', 'products']"
Customer mana yang belum pernah order sama sekali? Tampilkan 'customer_id' d~an 'company_name'.,"['customers', 'orders']"
"Top 191 shipper mana y~ang  rata-ratanya paling mahal? Tampilkan 'shipper_id',4 'company_name', 'avg_freight'.","['orders', 'shippers']"
"Karyawan siapa saja yang udah ngurus minimal 10 order? Tampilkan 'first_name', 'last_name', 'total_orders_handled'.","['employees', 'orders']"
"Jumlah order per tahun DAN bulan berapa aja? T~ampilkan 'order_year', 'order_month', 'no_of_orders'.",['orders']
Jumlah customer per region b~erapa? Tampilkan 'region' dan 'total_customers'.,['customers']
Produk yang belum pernah diorder dan s~uppliernya apa a~ja? Tampilkan 'product_name' dan 'supplier_name'.,"['order_details', 'products', 'suppliers']"
Jumlah k~aryawan PER oeginr jay Tampilkan 'region_description' dan 'total_employees'.,"['employee_territories', 'employees', 'region', 'territories']"
Siapa aja raakaywn yang belum pernah ngurus order? Talkianmp 'first_name',"['employees', 'orders']"
"Produk apa aja yang stoknya UDAH di bawah level reorder? Tampilkan 'product_name', 'units_in_stock', 'reorder_level'.",['products']
"Karyawan zk saja tbdg ngurus territory  lebih dari rjc REGION? Tampilkan 'first_name', 'last_name',70 'total_regions'.","['employee_territories', 'employees', 'region', 'territories']"
"Order maan saja yang uw lebih lambat dari tanggal op d~iminta? aamTipnlk 'order_id', 'customer_name', d~an 'delay_in_days' (jumlah  keterlambatan).","['customers', 'orders']"
Produk yang  jarang diorder apa? Tampilkan 'product_name' dan 'total_quantity_ordered'.,"['order_details', 'products']"
"Jumlah bqis per NEGARA, dari yang paling kabnay ke dikit?50 Tampilkan fmgj dan 'total_customers'.",['customers']
"Top 1 customer47 MANA yang anrhep bikin order paling mahal? Tampilkan 'customer_name', 'order_id', 'order_value'.","['customers', 'order_details', 'orders']"
"3 karyawan yang HANDLE customer knui paling52 banyak? TAMPILKAN 'first_name',  'unique_customers'.","['employees', 'orders']"
Top 1 KATEGORI p~roduk paling populer berdasarkan j~umlah order? akipmalTn 'category_name'24 dan 'total_quantity'.,"['categories', 'order_details', 'products']"
hypkb nama customer49 (bukan nama56 perusahaan) dan berapa banyak ankwraya berbeda y~ang ub menangani pesanan mereka. Tampilkan 'customer_name'10 dan '~employee_count'.,"['customers', 'orders']"
Jumlah order per n~egara auujtn PENGIRIMAN berapa  akmiplaTn tpc'yon'ursih_ dan 'total_orders'.,['orders']
"Jumlah tnkz per ppheris per oflwo berapa0 aja? Tampilkan  'order_year', 'order_count'.72","['orders', 'shippers']"
Berapa banyak PRODUK berbeda yang84 p~ernah d~ibeli lebih DARI satu KALI oleh setiap c~ustomer? Tampilkan customer sebagai cuetreom_msna dan jumlah produk yang diulang sebagai repeated_products.,"['customers', 'order_details', 'orders']"
much money vghs we make in58 1997 otat?l Show46 it as lddl Total Revenues'.,"['order_details', 'orders']"
much11 has each customer paid overall? Show '~CompanyName' and total as 'Total'.66,"['customers', 'order_details', 'orders']"
"What are our top 10 most pc products, looking from revenue after getting discounted? SHOW 'ProductName' and 'Sales","['order_details', 'products']"
Which  CUSTOMERS aidp MORE t~han $1000?  'ContactName' and 'Payments'.,"['customers', 'order_details', 'orders']"
"How much has each mstcoeur paid in total, including those owh didn’t make5 any ecsshprau, and  much of that was paid in 719?9  include the CustomerID, CompanyName, and  and show the total revenue as Customer Total and t~he kma revenue as 1997, sorted by  Total.","['customers', 'order_details', 'orders']"
"Which TOP 1 employee91 handled the MOST orders? Show 'employee_id', 'first_name', 'last_name', 'total_orders'.","['employees', 'orders']"
