prompt,tables_used
"Can you show me the actor_id, first_name, and last_name of actors with the first name Scarlett?",['actor']
How many different last_name values are there among all the actors?,['actor']
"Who’s the top 1 actor that’s been in the most films? Just show me their actor_id, first_name, and last_name.","['film_actor', 'actor']"
"What are the top 5 film genres that brought in the highest revenue by looking from the payments in all store? Just show the genre names, sorted from the highest.","['category', 'rental', 'payment', 'film_category', 'inventory']"
"How much revenue did each store make, looking from the staff's payments? Just show me the store_id and total revenue, sorted from highest to lowest.","['staff', 'payment', 'store']"
Which language shows up the most in our movie list? Just give me the top 1 language name.,"['language', 'film']"
"Who are the top 5 customers based on how many movies they've rented? Show their customer ID, first name, last name, and total number of rentals, sorted from highest to lowest.","['rental', 'customer']"
"Which customers have rented from more than 3 categories? Show the customer ID, first name, last name, and the number of categories they've rented from.","['inventory', 'rental', 'customer', 'film_category']"
"Are there any movies in our collection that have never been rented at all, across any store? I need the film ID, title, and release year.","['inventory', 'rental', 'film']"
"How much total revenue has each actor generated from the movies they've appeared in by looking from the payments of all store? Show the actor ID, first name, last name, and total revenue, sorted from highest to lowest.","['rental', 'payment', 'film_actor', 'inventory', 'actor']"
Which staff member handled the highest total payment? Just show their staff ID and the total amount they processed.,"['staff', 'payment']"
"Which customers have rented the same film more than once? Show the customer ID, first name, last name, film title, and the number of times they rented it.","['rental', 'customer', 'customer_film_rentals', 'film', 'inventory']"
"Which films are in the top 5 most rented film categories? Show the film ID, title, replacement cost, and category name, sorted by replacement cost from highest to lowest.","['category', 'rental', 'top_films', 'top_categories', 'film_category', 'film', 'inventory']"
"Which pairs of actors have appeared together in the most films? Show only the actor IDs for each pair and how many films they've worked on together, sorted from most to least.","['film_actor', 'actor']"
"Which movies are in the top 10% by total revenue? Show the film ID, title, and total revenue.","['rental', 'film_revenue', 'top_10_percent', 'payment', 'film', 'inventory']"
"Which customers have rented every film in a specific category (e.g., 'Action')? Show the customer ID, first name, and last name.","['category', 'rental', 'customer', 'customer_rentals', 'film_category', 'action_films', 'inventory']"
"Which movie has the highest average rental duration per customer? Show the film ID, title, and average rental duration. Just return the top 1.","['inventory', 'rental', 'film']"
"Which staff member has processed the most payments, and what is the total amount they’ve handled? Show the staff ID, first name, last name, and total amount. Just return the top 1.","['staff', 'payment']"
"Which films were never rented but are in the 5 most rented film categories? Show film ID, title, and category name, sorted by film ID.","['category', 'rental', 'rented_films', 'top_categories', 'film_category', 'films_in_top_categories', 'film', 'inventory']"
"Which customers have rented films from all categories? Show the customer ID, first name, and last name.","['category', 'rental', 'customer', 'customer_categories', 'film_category', 'inventory']"
"Which films earn the most revenue per rental day across all stores, based only on rentals that have been returned? Calculate this by dividing total payments by total rental days. Show the film ID, title, and revenue per day (rounded to two decimal places) for the top 10 films.","['rental', 'payment', 'film', 'inventory', 'film_revenue_per_day']"
"For each category, which films have the longest and shortest rental durations? Show the category name, film title, and rental duration. Return only one film for the longest and one for the shortest duration in each category (even if others have the same duration). Sort by category name ascending and rental duration descending.","['category', 'categoryrentalduration', 'film_category', 'film']"
"Which customers have rented films from exactly 2 categories? Show the customer ID, first name, last name, and the categories they've rented from.","['category', 'rental', 'customer', 'customer_categories', 'film_category', 'inventory', 'customer_category_count']"
"Which films have been rented more than the average number of rentals for their category? Show the film ID, title, category name, and rental count.","['category', 'rental', 'film_rentals', 'category_avg', 'film_category', 'film', 'inventory']"
"Which actors have never appeared in any films with a rating of 'R'? Show the actor ID, first name, and last name.","['film_actor', 'actor', 'film']"
"Get the top 1 film with the highest replacement cost among those that have never been rented in any store. Show the film ID, title, and replacement cost.","['inventory', 'rental', 'film']"
"Which customers have rented films from all stores? Show the customer ID, first name, and last name.","['rental', 'customer', 'customer_stores', 'store', 'inventory']"
"Which films have been rented in all stores? Show the film ID, title, and the number of stores it was rented in.","['film', 'rental', 'film_stores', 'store', 'inventory']"
"Which film has the highest revenue per minute of runtime? Show the film ID, title, runtime, and revenue per minute. Round to two decimal points. Return only the top 1 result.","['rental', 'film_revenue', 'payment', 'film', 'inventory']"
"Who are the customers that have rented the movie ZORRO ARK more than once? Just show their ID, first name, and last name.","['rental', 'customer', 'zorro_rentals', 'zorro_film', 'film', 'inventory']"
"Which film has the most actors but has never been rented in any store? Just show the film ID, title, and number of actors — only the top one.","['rental', 'film_actor', 'unrented_films', 'film', 'film_actor_counts', 'inventory']"
Which movie has the longest runtime but has never been rented? Show the movie title and runtime. Return only the top 1 result.,"['inventory', 'rental', 'unrented_films', 'film']"
"Which top 10 customers have rented the most movies in a single whole day? Show the customer’s first name, last name, and the number of movies they rented on that day. Sort by number of rented movies descending.","['rental', 'customer', 'customer_daily_rentals']"
List the movies that have been rented under 10 times in total. Include each movie’s title and the number of times it has been rented. Order the results by title alphabetically.,"['inventory', 'rental', 'film']"
