Question,Answer,Summary,Alternative Prompt 1 (English),Alternative Prompt 2 (Bahasa Indonesia),Expected Result
"Which faculty has the most research projects? If there is a tie, show any of the tying faculty. Show the nama and total_proyek.","SELECT f.nama, COUNT(p.id_proyek) AS total_proyek
  FROM Fakultas f
  JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  GROUP BY f.nama
  ORDER BY total_proyek DESC
  LIMIT 1;","This SQL query identifies the faculty with the highest number of research projects by joining the 'Fakultas' (Faculty) and 'ProyekPenelitian' (Research Projects) tables. It counts projects per faculty and returns the faculty with the most projects, highlighting research activity distribution across faculties. The output helps academic institutions understand research productivity and allocate resources effectively. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top faculty. The query can be modified to: 1) include time periods to analyze research trends, 2) add funding amounts to assess financial impact, or 3) filter by project status to focus on active research. It helps answer questions like 'Which faculty leads in research output?' and 'How should research funding be allocated across faculties?'",Can you tell me which faculty did the most research projects? I just need their name (nama) and the number of projects (total_proyek).,Fakultas mana yang paling banyak bikin proyek penelitian? Tampilkan nama (nama) dan jumlah proyeknya (total_proyek).,"['nama', 'total_proyek']"
"Which books have never been borrowed but belong to a category that has other book that has been borrowed at least three times? Show id_buku, judul, kategori.","SELECT b.id_buku, b.judul, b.kategori
  FROM BukuPerpustakaan b
  WHERE NOT EXISTS (
  SELECT 1 FROM PeminjamanBuku p WHERE p.id_buku = b.id_buku
  )
  AND EXISTS (
  SELECT 1 FROM BukuPerpustakaan b2
  JOIN PeminjamanBuku p2 ON p2.id_buku = b2.id_buku
  WHERE b2.kategori = b.kategori
  GROUP BY b2.kategori
  HAVING COUNT(*) > 3
  );","This query identifies books that have never been borrowed (NOT EXISTS) but belong to categories where other books have been borrowed multiple times (>3 loans). It examines the BukuPerpustakaan (books) and PeminjamanBuku (loans) tables, using two subqueries: one to find unborrowed books and another to verify active categories. The output shows book IDs, titles, and categories, helping librarians identify potentially unpopular books in otherwise popular categories. The query could be modified to: 1) include acquisition dates to analyze new vs old unborrowed books, 2) add popularity thresholds for comparison, or 3) filter by specific time periods. It helps answer questions about collection utilization, category popularity discrepancies, and potential weeding candidates.","Which books were never borrowed but are in a category that others borrow often? Show id_buku, judul, kategori.","Buku mana yang belum pernah dipinjam tapi termasuk kategori populer? Kolom: id_buku, judul, kategori.","['id_buku', 'judul', 'kategori']"
"Which courses have no enrolled students but still have a session scheduled? Show id_mk, judul, jumlah_sesi.","SELECT mk.id_mk, mk.judul, COUNT(s.id_sesi) AS jumlah_sesi
  FROM MataKuliah mk
  JOIN Sesi s ON mk.id_mk = s.id_mk
  WHERE NOT EXISTS (
  SELECT 1 FROM EnrolmenKelas e
  JOIN Sesi s2 ON e.id_sesi = s2.id_sesi
  WHERE s2.id_mk = mk.id_mk
  )
  GROUP BY mk.id_mk, mk.judul;","This SQL query identifies courses that have scheduled sessions but no enrolled students by analyzing the 'MataKuliah' (Courses), 'Sesi' (Sessions), and 'EnrolmenKelas' (Class Enrollments) tables. It counts the number of sessions for each course and uses a NOT EXISTS subquery to filter out courses that have any enrollments. The output helps academic administrators identify under-subscribed courses that may need marketing attention or reconsideration. Key operations include a table JOIN, COUNT aggregation, and a NOT EXISTS subquery to detect courses with zero enrollments. The query can be modified to: 1) include semester filters to analyze enrollment trends over time, 2) add instructor information to assess teaching assignments, or 3) compare with previous offerings to identify declining interest. It helps answer questions like 'Which courses are scheduled but have no students?' and 'How should we adjust our course offerings based on demand?'","Which courses have no students but still have sessions? Show id_mk, judul, jumlah_sesi.","Matkul mana yang punya sesi tapi ga ada mahasiswa yang daftar? Kolom: id_mk, judul, jumlah_sesi.","['id_mk', 'judul', 'jumlah_sesi']"
"Which lecturers have taught the same course in at least 3 different semesters? Show id_dosen, nama, id_mk, judul, total_semester.","SELECT d.id_dosen, d.nama, mk.id_mk, mk.judul, COUNT(DISTINCT s.semester) AS total_semester
  FROM Dosen d
  JOIN Sesi s ON s.id_pengajar = d.id_dosen
  JOIN MataKuliah mk ON mk.id_mk = s.id_mk
  GROUP BY d.id_dosen, d.nama, mk.id_mk, mk.judul
  HAVING COUNT(DISTINCT s.semester) >= 3;","This query identifies professors who have taught the same course for at least 3 different semesters by joining the Dosen (professors), Sesi (sessions), and MataKuliah (courses) tables. It counts distinct semesters per professor-course combination using GROUP BY and filters for those with ≥3 semesters via HAVING. The output shows professor IDs, names, course IDs, titles, and semester counts, helping identify experienced instructors for specific courses. The query could be modified to: 1) include semester years to analyze teaching continuity over time, 2) add average class size by joining enrollment data, or 3) filter for specific departments. It answers questions about teaching consistency, instructor expertise distribution, and long-term course staffing patterns.","Which lecturers taught the same course in 3+ semesters? Show id_dosen, nama, id_mk, judul, total_semester.","Dosen mana yang ngajar matkul yang sama di 3 semester berbeda? Tampilkan id_dosen, nama, id_mk, judul, total_semester.","['id_dosen', 'nama', 'id_mk', 'judul', 'total_semester']"
"Which course has the highest average exam score? If there is a tie, show any of the tying courses. Show judul and rata_rata_nilai.","SELECT mk.judul, AVG(h.nilai_diperoleh) AS rata_rata_nilai
  FROM MataKuliah mk
  JOIN Ujian u ON mk.id_mk = u.id_mk
  JOIN HasilUjian h ON u.id_ujian = h.id_ujian
  GROUP BY mk.judul
  ORDER BY rata_rata_nilai DESC
  LIMIT 1;","This SQL query identifies the course with the highest average exam scores by joining the 'MataKuliah' (Courses), 'Ujian' (Exams), and 'HasilUjian' (Exam Results) tables. It calculates the average exam score for each course and returns the course with the highest average, providing insight into academic performance across different subjects. The output helps educators identify teaching strengths and potentially recognize effective instructional methods. Key operations include multi-table JOINs, AVG aggregation, and ORDER BY with LIMIT to highlight the top-performing course. The query can be modified to: 1) filter by semester to analyze performance trends over time, 2) include instructor information to assess teaching effectiveness, or 3) compare with enrollment numbers to examine the relationship between class size and performance. It helps answer questions like 'Which course has the highest student achievement?' and 'What teaching methods contribute to better exam results?'",Which course has the best average exam score? Show me the title (judul) and the average score (rata_rata_nilai).,Matkul mana yang nilai ujiannya paling tinggi rata-ratanya? Kasih tau judul (judul) dan nilai rata-rata (rata_rata_nilai).,"['judul', 'rata_rata_nilai']"
"Find the top 5 lecturers based on total number of roles (pengajar sesi, pembimbing mahasiswa, penulis publikasi). If there is a tie, show any of the valid top 5 lecturers. Show id_dosen, nama, total_peran.","SELECT d.id_dosen, d.nama,
  (SELECT COUNT(*) FROM Sesi WHERE id_pengajar = d.id_dosen) +
  (SELECT COUNT(*) FROM Mahasiswa WHERE id_pembimbing = d.id_dosen) +
  (SELECT COUNT(*) FROM PenulisPublikasi WHERE id_dosen = d.id_dosen) AS total_peran
  FROM Dosen d
  ORDER BY total_peran DESC
  LIMIT 5;","This SQL query identifies the top 5 most actively engaged faculty members by calculating their total contributions across teaching, advising, and research. It combines three separate counts from the 'Sesi' (Teaching Sessions), 'Mahasiswa' (Student Advising), and 'PenulisPublikasi' (Research Publications) tables to create a comprehensive engagement score for each faculty member. The output helps academic administrators recognize faculty with the broadest institutional contributions and can inform workload distribution decisions. Key operations include three correlated subqueries for counting different roles, arithmetic summation of these counts, and ORDER BY with LIMIT to highlight the most engaged faculty. The query can be modified to: 1) weight different roles differently in the total score, 2) filter by time periods to analyze recent engagement, or 3) normalize by years of service for fair comparison. It helps answer questions like 'Which faculty members are most actively contributing across all areas?' and 'How should we balance teaching, advising, and research expectations?'","Who are the top 5 lecturers with the most roles (teaching, supervising, publishing)? Show id_dosen, nama, total_peran.","5 dosen teraktif dalam hal ngajar, bimbing, dan publikasi siapa aja? Kolom: id_dosen, nama, total_peran.","['id_dosen', 'nama', 'total_peran']"
"List all faculties along with their total number of research projects, total publications, and number of lecturers involved in either. Show nama, total_proyek, total_publikasi, total_dosen_aktif.","SELECT f.nama,
  COUNT(DISTINCT p.id_proyek) AS total_proyek,
  COUNT(DISTINCT pb.id_publikasi) AS total_publikasi,
  COUNT(DISTINCT d.id_dosen) AS total_dosen_aktif
  FROM Fakultas f
  LEFT JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  LEFT JOIN Publikasi pb ON f.id_fakultas = pb.id_fakultas
  LEFT JOIN Dosen d ON d.id_fakultas = f.id_fakultas
  WHERE d.id_dosen IN (
  SELECT id_dosen FROM PenulisPublikasi
  UNION
  SELECT id_dosen FROM ProyekPenelitian
  )
  GROUP BY f.nama;","This SQL query provides a comprehensive research activity overview by faculty by analyzing three key metrics: research projects, publications, and active faculty members. It joins the 'Fakultas' (Faculties) table with 'ProyekPenelitian' (Research Projects), 'Publikasi' (Publications), and 'Dosen' (Faculty) tables using LEFT JOINs to ensure all faculties are included. The query specifically counts distinct projects, publications, and faculty members who are actively involved in either publishing or research projects. The output helps academic administrators assess research productivity across different faculties and allocate resources effectively. Key operations include multiple LEFT JOINs, COUNT(DISTINCT) aggregations, and a subquery with UNION to identify active faculty. The query can be modified to: 1) add time filters to analyze research trends, 2) include funding amounts to assess financial impact, or 3) calculate ratios like publications per faculty. It helps answer strategic questions like 'Which faculties are most research-productive?' and 'How should research funding be distributed?'","Can you list all faculties and show how many research projects, publications, and active lecturers each has? Show nama, total_proyek, total_publikasi, total_dosen_aktif.","Tolong tampilin semua fakultas beserta total proyek, publikasi, dan dosen aktifnya. Kolom: nama, total_proyek, total_publikasi, total_dosen_aktif.","['nama', 'total_proyek', 'total_publikasi', 'total_dosen_aktif']"
"Show the top 5 clubs with the most diverse membership in terms of departments. If there is a tie, show any of the valid top 5 clubs. Show id_klub, nama, total_jurusan.","SELECT k.id_klub, k.nama, COUNT(DISTINCT m.id_jurusan) AS total_jurusan
  FROM OrganisasiKlub k
  JOIN KeanggotaanKlub kk ON kk.id_klub = k.id_klub
  JOIN Mahasiswa m ON m.id_mahasiswa = kk.id_mahasiswa
  GROUP BY k.id_klub, k.nama
  ORDER BY total_jurusan DESC
  LIMIT 5;","This query identifies the top 5 most diverse student clubs based on department representation by joining the OrganisasiKlub (clubs), KeanggotaanKlub (memberships), and Mahasiswa (students) tables. It counts distinct departments per club (COUNT(DISTINCT m.id_jurusan)), groups by club ID and name, and orders results by department diversity in descending order. The output shows club IDs, names, and department counts, highlighting clubs with the broadest academic representation. The query could be modified to: 1) include department names to identify which disciplines participate most, 2) filter by club type or size to analyze diversity patterns, or 3) add member counts to assess participation levels. It helps answer questions about student engagement across departments, club diversity trends, and opportunities for interdisciplinary student interactions.","Which clubs have students from many departments? Show id_klub, nama, total_jurusan.","Klub mana yang anggotanya datang dari berbagai jurusan? Tampilkan id_klub, nama, total_jurusan.","['id_klub', 'nama', 'total_jurusan']"
"Which lecturer supervises the most students? If there is a tie, show any of the tying lecturer. Show nama and total_mahasiswa_dibimbing.","SELECT d.nama, COUNT(m.id_mahasiswa) AS total_mahasiswa_dibimbing
  FROM Dosen d
  JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing
  GROUP BY d.nama
  ORDER BY total_mahasiswa_dibimbing DESC
  LIMIT 1;","This SQL query identifies the lecturer supervising the most students by joining the 'Dosen' (Lecturers) and 'Mahasiswa' (Students) tables. It counts the number of students supervised by each lecturer and returns the lecturer with the highest count, providing insights into academic advising workloads. The output helps academic institutions balance advising responsibilities and recognize faculty contributions. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top lecturer. The query can be modified to: 1) include student academic performance metrics to assess advising effectiveness, 2) filter by student year to analyze advising distribution across classes, or 3) add department information to understand advising patterns across disciplines. It helps answer questions like 'Which lecturer has the heaviest advising load?' and 'How should advising responsibilities be distributed among faculty?'",I’m curious which lecturer guides the most students. Please show their name (nama) and how many students they supervise (total_mahasiswa_dibimbing).,Dosen mana yang ngebimbing mahasiswa paling banyak? Aku butuh namanya (nama) dan total mahasiswa bimbingannya (total_mahasiswa_dibimbing).,"['nama', 'total_mahasiswa_dibimbing']"
"List students who have received grades (nilai_akhir) for all courses they have attended. Show id_mahasiswa, nama, and jumlah_mk.","SELECT m.id_mahasiswa, m.nama, COUNT(DISTINCT n.id_mk) AS jumlah_mk
  FROM Mahasiswa m
  JOIN Nilai n ON m.id_mahasiswa = n.id_mahasiswa
  JOIN EnrolmenKelas e ON m.id_mahasiswa = e.id_mahasiswa
  JOIN Sesi s ON e.id_sesi = s.id_sesi
  GROUP BY m.id_mahasiswa, m.nama
  HAVING COUNT(DISTINCT n.id_mk) = (
  SELECT COUNT(DISTINCT s2.id_mk)
  FROM EnrolmenKelas e2
  JOIN Sesi s2 ON s2.id_sesi = e2.id_sesi
  WHERE e2.id_mahasiswa = m.id_mahasiswa
  );","This SQL query identifies students who have completed all enrolled courses by comparing their course enrollment records with their grade records. It joins the 'Mahasiswa' (Students), 'Nilai' (Grades), 'EnrolmenKelas' (Class Enrollment), and 'Sesi' (Sessions) tables to match enrolled courses with completed courses (those with grades). The HAVING clause uses a correlated subquery to verify that the count of courses with grades equals the count of enrolled courses. The output helps academic advisors track student progress and completion rates. Key operations include multiple JOINs, COUNT(DISTINCT) to avoid duplicate counting, and a correlated subquery for precise matching. The query can be modified to: 1) filter by semester to analyze completion trends, 2) include grade thresholds to identify students passing all courses, or 3) add program requirements to track degree progress. It helps answer questions like 'Which students have completed all their enrolled courses?' and 'What percentage of students complete all enrolled courses each semester?'","List students who got a grade for every course they attended. Show id_mahasiswa, nama, and jumlah_mk.","Siapa aja mahasiswa yang dapet nilai akhir untuk semua matkul yang dia ambil? Kolom: id_mahasiswa, nama, jumlah_mk.","['id_mahasiswa', 'nama', 'jumlah_mk']"
