Question ID,Question,Generated SQL Query,Expected SQL Query,Execution Accuracy
1.1,"Can you show me the players who scored more than 2 goals in one game? I’d like to see their player_id, name, match number, and how many goals they scored.","SELECT g.player_id, p.player_name, g.match_no, COUNT(g.goal_id) AS goals_scored
FROM goal_details g
JOIN player_mast p ON g.player_id = p.player_id
GROUP BY g.player_id, p.player_name, g.match_no
HAVING COUNT(g.goal_id) > 2
ORDER BY goals_scored DESC;","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;",1.0
1.2,"Tolong tampilkan pemain yang mencetak lebih dari 2 gol dalam satu pertandingan. Saya mau lihat player_id, nama pemain, match_no, dan total golnya.","SELECT 
    g.player_id, 
    p.player_name, 
    g.match_no, 
    COUNT(g.goal_id) AS total_goals
FROM 
    goal_details g
JOIN 
    player_mast p ON g.player_id = p.player_id
GROUP BY 
    g.player_id, p.player_name, g.match_no
HAVING 
    COUNT(g.goal_id) > 2
ORDER BY 
    total_goals DESC;","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;",1.0
2.1,Show all matches where the final score was a draw. Display the match number.,"SELECT match_no 
FROM match_mast 
WHERE results = 'Draw';","SELECT 
    md1.match_no
FROM 
    match_details md1
JOIN 
    match_details md2
    ON md1.match_no = md2.match_no
    AND md1.team_id <> md2.team_id
WHERE 
    md1.goal_score = md2.goal_score
GROUP BY 
    md1.match_no, md1.goal_score
ORDER BY 
    md1.match_no;
",0.0
2.2,Tampilkan semua pertandingan yang berakhir imbang. Sertakan nomor pertandingan.,SELECT match_no FROM match_details WHERE win_lose = 'D';,"SELECT 
    md1.match_no
FROM 
    match_details md1
JOIN 
    match_details md2
    ON md1.match_no = md2.match_no
    AND md1.team_id <> md2.team_id
WHERE 
    md1.goal_score = md2.goal_score
GROUP BY 
    md1.match_no, md1.goal_score
ORDER BY 
    md1.match_no;
",0.0
4.1,"Can you list referees who led more than 3 matches? I want their referee_id, name, and total matches they officiated.","SELECT r.referee_id, r.referee_name, COUNT(mm.match_no) AS total_matches
FROM referee_mast r
JOIN match_mast mm ON r.referee_id = mm.referee_id
GROUP BY r.referee_id, r.referee_name
HAVING COUNT(mm.match_no) > 3
ORDER BY total_matches DESC;","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
  FROM match_mast mm
  JOIN referee_mast rm ON mm.referee_id = rm.referee_id
  GROUP BY rm.referee_id, rm.referee_name
  HAVING COUNT(*) > 3;",1.0
4.2,"Saya ingin tahu wasit yang memimpin lebih dari 3 pertandingan. Tampilkan referee_id, nama wasit, dan jumlah pertandingan.","SELECT r.referee_id, r.referee_name, COUNT(mm.match_no) AS jumlah_pertandingan
FROM referee_mast r
JOIN match_mast mm ON r.referee_id = mm.referee_id
GROUP BY r.referee_id, r.referee_name
HAVING COUNT(mm.match_no) > 3
ORDER BY jumlah_pertandingan DESC;","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
  FROM match_mast mm
  JOIN referee_mast rm ON mm.referee_id = rm.referee_id
  GROUP BY rm.referee_id, rm.referee_name
  HAVING COUNT(*) > 3;",1.0
5.1,"Show me which players were both substituted in and out in the same game. Include player_id, name, and match number.","SELECT DISTINCT p.player_id, p.player_name, i.match_no
FROM player_in_out i
JOIN player_mast p ON i.player_id = p.player_id
WHERE i.in_out = 'I' AND EXISTS (
    SELECT 1 
    FROM player_in_out o 
    WHERE o.match_no = i.match_no 
    AND o.player_id = i.player_id 
    AND o.in_out = 'O'
);","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
  FROM player_in_out pio
  JOIN player_mast pm ON pio.player_id = pm.player_id
  WHERE EXISTS (
  SELECT 1 FROM player_in_out p2
  WHERE p2.player_id = pio.player_id AND p2.match_no = pio.match_no
  AND p2.in_out != pio.in_out
  );",1.0
5.2,"Tampilkan pemain yang pernah diganti masuk dan juga diganti keluar di satu pertandingan yang sama. Sertakan player_id, nama, dan nomor pertandingannya.","SELECT DISTINCT p.player_id, p.player_name, pio.match_no
FROM player_mast p
JOIN player_in_out pio1 ON p.player_id = pio1.player_id AND pio1.in_out = 'I'
JOIN player_in_out pio2 ON p.player_id = pio2.player_id AND pio2.in_out = 'O' AND pio1.match_no = pio2.match_no;","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
  FROM player_in_out pio
  JOIN player_mast pm ON pio.player_id = pm.player_id
  WHERE EXISTS (
  SELECT 1 FROM player_in_out p2
  WHERE p2.player_id = pio.player_id AND p2.match_no = pio.match_no
  AND p2.in_out != pio.in_out
  );",0.0
6.1,"Which players got a card and also scored a goal in the same match? I’d like to see player_id, player name, and match number.","SELECT DISTINCT pm.player_id, pm.player_name, pb.match_no
FROM player_mast pm
JOIN player_booked pb ON pm.player_id = pb.player_id
JOIN goal_details gd ON pm.player_id = gd.player_id AND pb.match_no = gd.match_no;","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
  FROM player_booked pb
  JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
  JOIN player_mast pm ON pb.player_id = pm.player_id;",1.0
6.2,"Siapa saja pemain yang dapat kartu dan cetak gol di pertandingan yang sama? Tampilkan player_id, nama pemain, dan nomor pertandingannya.","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
FROM player_booked pb
JOIN player_mast pm ON pb.player_id = pm.player_id
JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no;","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
  FROM player_booked pb
  JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
  JOIN player_mast pm ON pb.player_id = pm.player_id;",1.0
7.1,"Can you list teams that scored more goals than they conceded in the tournament? I want team_id, goal_for, goal_agnst, and goal_diff.","SELECT team_id, goal_for, goal_agnst, goal_diff
FROM soccer_team
WHERE goal_for > goal_agnst;","SELECT team_id, goal_for, goal_agnst, goal_diff
  FROM soccer_team
  WHERE goal_for > goal_agnst;",1.0
7.2,"Tampilkan tim-tim yang jumlah gol masuknya lebih banyak dari gol kebobolannya. Saya butuh team_id, goal_for, goal_agnst, dan goal_diff.","SELECT team_id, goal_for, goal_agnst, goal_diff 
FROM soccer_team 
WHERE goal_for > goal_agnst;","SELECT team_id, goal_for, goal_agnst, goal_diff
  FROM soccer_team
  WHERE goal_for > goal_agnst;",1.0
9.1,"Show me the venues where audience attendance reached the highest. I want venue_name, the city, and the max audience number. Sort from highest.","SELECT sv.venue_name, sc.city, mm.audence AS max_audience
FROM soccer_venue sv
JOIN soccer_city sc ON sv.city_id = sc.city_id
JOIN match_mast mm ON sv.venue_id = mm.venue_id
WHERE mm.audence = (SELECT MAX(audence) FROM match_mast)
ORDER BY max_audience DESC;","SELECT sv.venue_name, sc.city, MAX(mm.audence) AS max_audience
  FROM match_mast mm
  JOIN soccer_venue sv ON mm.venue_id = sv.venue_id
  JOIN soccer_city sc ON sv.city_id = sc.city_id
  GROUP BY sv.venue_name, sc.city
  ORDER BY max_audience DESC;",0.0
9.2,"Venue mana saja yang penontonnya banyak? Saya mau lihat nama venue, kota, dan jumlah penonton terbanyaknya. Urutkan dari yang terbanyak.","SELECT sv.venue_name, sc.city, mm.audence
FROM soccer_venue sv
JOIN soccer_city sc ON sv.city_id = sc.city_id
JOIN match_mast mm ON sv.venue_id = mm.venue_id
ORDER BY mm.audence DESC;","SELECT sv.venue_name, sc.city, MAX(mm.audence) AS max_audience
  FROM match_mast mm
  JOIN soccer_venue sv ON mm.venue_id = sv.venue_id
  JOIN soccer_city sc ON sv.city_id = sc.city_id
  GROUP BY sv.venue_name, sc.city
  ORDER BY max_audience DESC;",0.0
10.1,Find the players who were never substituted out in any match. Please show player_id and their name.,SELECT,"SELECT DISTINCT pm.player_id, pm.player_name
  FROM player_mast pm
  WHERE NOT EXISTS (
  SELECT 1 FROM player_in_out pio
  WHERE pio.player_id = pm.player_id AND pio.in_out = 'O'
  );",0.0
