Question ID,Question,Generated SQL Query,Expected SQL Query,Execution Accuracy
1.1,canyOu teLLzz HIhwEM facutYzz diD EhT MOST hCrESE proJeCTS Ix JUst123 NEEd RET eMaN (AMa) an THE123 nUMbeR oF123 sTcEJoRp (OtAL_ROYEk).,"SELECT company_name, COUNT(order_id) AS total_projects FROM suppliers AS s JOIN products AS p ON s.supplier_id = p.supplier_id JOIN order_details AS od ON p.product_id = od.product_id GROUP BY company_name ORDER BY total_projects DESC LIMIT 1","SELECT f.nama, COUNT(p.id_proyek) AS total_proyek
  FROM Fakultas f
  JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  GROUP BY f.nama
  ORDER BY total_proyek DESC
  LIMIT 1;",0.0
1.2,fAkUlTaS ANaYaNGzz KaynaBgniLAp biKIN naIILeEpKEYOrP taMpiLkan Nama(naMa) nAD HAlUJ prOeKYa(tOtAL_ProyK).,SELECT company_name FROM suppliers WHERE company_name ILIKE '%fakultas%' OR company_name ILIKE '%anayangzz%' OR company_name ILIKE '%kaynabgnilap%' OR company_name ILIKE '%bikin%' OR company_name ILIKE '%naiileepkeyorp%' OR company_name ILIKE '%tampilkan%' OR company_name ILIKE '%nama%' OR company_name ILIKE '%nad%' OR company_name ILIKE '%haluj%' OR company_name ILIKE '%proyekya%' OR company_name ILIKE '%total_proyk%';,"SELECT f.nama, COUNT(p.id_proyek) AS total_proyek
  FROM Fakultas f
  JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  GROUP BY f.nama
  ORDER BY total_proyek DESC
  LIMIT 1;",0.0
2.1,i’M CUrIoUS whICh LerERguIdeSThe Tsm tuDETS.pLeASEzz Showzz theR nam )aMAN( dN hownY STuDnTsthey SUeRVISe(otAL_mAHasiswa_dibMbInG.,"SELECT T2.first_name, T2.last_name, COUNT(T1.employee_id) AS total_mahasiswabimbing
FROM employee_territories AS T1
JOIN employees AS T2
  ON T1.employee_id = T2.employee_id
JOIN territories AS T3
  ON T1.territory_id = T3.territory_id
WHERE
  T3.territory_description ILIKE 'tsm'
GROUP BY
  T2.first_name, T2.last_name;","SELECT d.nama, COUNT(m.id_mahasiswa) AS total_mahasiswa_dibimbing
  FROM Dosen d
  JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing
  GROUP BY d.nama
  ORDER BY total_mahasiswa_dibimbing DESC
  LIMIT 1;",0.0
2.2,DoSE mANAx yaNG NgeBIBng MAhaSiS paLInx baNYAK? AKU123 Butuh NmAnY NaMA) Nad LAtOt mAAsISWa YNNgnibMIB (OTAL_MAasisWadibIbing).x,"SELECT contact_name, COUNT(*) AS total_mahasiswadibimbing FROM customers GROUP BY contact_name ORDER BY total_mahasiswadibimbing DESC LIMIT 1","SELECT d.nama, COUNT(m.id_mahasiswa) AS total_mahasiswa_dibimbing
  FROM Dosen d
  JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing
  GROUP BY d.nama
  ORDER BY total_mahasiswa_dibimbing DESC
  LIMIT 1;",0.0
3.1,WHICh tUDen JOIeD EhT mOS sESSOnS izz TNaw t sEE EIR NAm123 (NA) And123 ynamWOH SESsIonS tHEy123 aTtENDE (tOtAL_keAdIran).,"SELECT s.student_name, COUNT(sa.session_id) AS total_sessions_attended
FROM students s
JOIN student_attendance sa ON s.student_id = sa.student_id
GROUP BY s.student_name
ORDER BY total_sessions_attended DESC
LIMIT 1;","SELECT m.nama, COUNT(k.id_kehadiran) AS total_kehadiran
  FROM Mahasiswa m
  JOIN CatatanKehadiran k ON m.id_mahasiswa = k.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_kehadiran DESC
  LIMIT 1;",0.0
3.2,MahasIsWA mAnayAg PAliNGRAjIn123 ikutsesi KELAs? KSIh Lat nAma (nAA)danzz jUmlah keHaDiRANnYA123 (otaL_KehADIRAn).,"SELECT last_name, COUNT(*) AS total_kehadiran FROM employees WHERE last_name ILIKE 'palingrajin%' GROUP BY last_name","SELECT m.nama, COUNT(k.id_kehadiran) AS total_kehadiran
  FROM Mahasiswa m
  JOIN CatatanKehadiran k ON m.id_mahasiswa = k.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_kehadiran DESC
  LIMIT 1;",0.0
4.1,wHAT RA The TO123 5x TsM pOpULAr coURSes?123 How mEtHex esuOC TitLe jUDUl)zz aNd how maNySudenTs enIoJ (OAL_mahASisw).,"SELECT title, COUNT(*) FROM courses WHERE title ILIKE '%tsm%' GROUP BY title ORDER BY COUNT(*) DESC LIMIT 5;","SELECT mk.judul, COUNT(e.id_mahasiswa) AS total_mahasiswa
  FROM MataKuliah mk
  JOIN Sesi s ON mk.id_mk = s.id_mk
  JOIN EnrolmenKelas e ON s.id_sesi = e.id_sesi
  GROUP BY mk.judul
  ORDER BY total_mahasiswa DESC
  LIMIT 5;",0.0
4.2,Top 5 ATkul yNg pLNg BANyak DIabilx ApAs AJA ya? TAmpILkan Judu mAtlnyA )lUduj( NaD jULahzz mhASISWa (TOtAl_MhaSIwA).,"SELECT product_name AS judul_matkul, SUM(quantity) AS total_mahasiswa FROM products JOIN order_details ON products.product_id = order_details.product_id GROUP BY judul_matkul ORDER BY total_mahasiswa DESC LIMIT 5","SELECT mk.judul, COUNT(e.id_mahasiswa) AS total_mahasiswa
  FROM MataKuliah mk
  JOIN Sesi s ON mk.id_mk = s.id_mk
  JOIN EnrolmenKelas e ON s.id_sesi = e.id_sesi
  GROUP BY mk.judul
  ORDER BY total_mahasiswa DESC
  LIMIT 5;",0.0
5.1,WhIchFACLtY USeS EhT MOst FacIItIES?zz i123 DEEn thE fAcUlty EMaN (nAma) AND eHt nUMBEr Of FAciLITeS123 UsEDzz (TotL_asILitAs).x,"SELECT first_name, COUNT(territory_id) AS total_facilities FROM employees JOIN employee_territories ON employees.employee_id = employee_territories.employee_id GROUP BY first_name ORDER BY total_facilities DESC LIMIT 1;","SELECT f.nama, COUNT(ff.id_fasilitas) AS total_fasilitas
  FROM Fakultas f
  JOIN FasilitasFakultas ff ON f.id_fakultas = ff.id_fakultas
  GROUP BY f.nama
  ORDER BY total_fasilitas DESC 
  LIMIT 1;",0.0
5.2,FAKuLtAS NAm yAng palNg bAnyAK PkeFasILiTa?x akuzz maUx liAT AAn (nAmA) DaN mlah123 fasLItaSNyA (tOTL_fasILtaS).,"SELECT company_name, COUNT(*) AS total_fasilitas FROM suppliers GROUP BY company_name","SELECT f.nama, COUNT(ff.id_fasilitas) AS total_fasilitas
  FROM Fakultas f
  JOIN FasilitasFakultas ff ON f.id_fakultas = ff.id_fakultas
  GROUP BY f.nama
  ORDER BY total_fasilitas DESC 
  LIMIT 1;",0.0
6.1,hiC CoUrsEHs thE123 EgaEatsEb MAe sCore? SHO METE tiLe (JUdL)aNd THe avEage scRE(AA_tA_iLai).123,"SELECT title, AVG(employee_id) AS AA_tA_iLai FROM employees GROUP BY title","SELECT mk.judul, AVG(h.nilai_diperoleh) AS rata_rata_nilai
  FROM MataKuliah mk
  JOIN Ujian u ON mk.id_mk = u.id_mk
  JOIN HasilUjian h ON u.id_ujian = h.id_ujian
  GROUP BY mk.judul
  ORDER BY rata_rata_nilai DESC
  LIMIT 1;",0.0
6.2,MATKUl Anam YANg niLAI ujiANnyA pAIng IggNIT RATA-rATANyAzz kaiHzz uAT JudUlzz (juDuL) dAn naI Ta-rat (raT_Ata_Lai).,"SELECT product_name AS juDuL, AVG(unit_price) AS raT_Ata_Lai FROM products GROUP BY product_name ORDER BY raT_Ata_Lai DESC LIMIT 1;","SELECT mk.judul, AVG(h.nilai_diperoleh) AS rata_rata_nilai
  FROM MataKuliah mk
  JOIN Ujian u ON mk.id_mk = u.id_mk
  JOIN HasilUjian h ON u.id_ujian = h.id_ujian
  GROUP BY mk.judul
  ORDER BY rata_rata_nilai DESC
  LIMIT 1;",0.0
7.1,SiOhw thelecuRR wItH THe123 MOSt snoTaCILBup jUstzz shw123 rIEhT nAMe (n) ANd hOw MAny ev’YeT DErOhTUa (OTALPubLIKasI).,"SELECT n, COUNT(*) AS TotalPublications FROM authors WHERE n ILIKE 'SiOhw thelecuRR wItH THe123 MOst snoTaCILBup jUstzz shw123%' GROUP BY n ORDER BY TotalPublications DESC LIMIT 1;","SELECT d.nama, COUNT(p.id_publikasi) AS total_publikasi
  FROM Dosen d
  JOIN PenulisPublikasi pp ON d.id_dosen = pp.id_dosen
  JOIN Publikasi p ON pp.id_publikasi = p.id_publikasi
  GROUP BY d.nama
  ORDER BY total_publikasi DESC
  LIMIT 1;",0.0
