Question ID,Question,Generated SQL Query,Expected SQL Query,Execution Accuracy
1.1,"Can you show me the players who scored more than 2 goals in one game? I’d like to see their player_id, name, match number, and how many goals they scored.","SELECT p.player_id, p.player_name, g.match_no, COUNT(g.goal_id) AS goals_scored
FROM player_mast AS p
JOIN goal_details AS g ON p.player_id = g.player_id
GROUP BY p.player_id, p.player_name, g.match_no
HAVING COUNT(g.goal_id) > 2;","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;",1.0
1.2,"Tolong tampilkan pemain yang mencetak lebih dari 2 gol dalam satu pertandingan. Saya mau lihat player_id, nama pemain, match_no, dan total golnya.","SELECT pm.player_id, pm.player_name, gd.match_no, COUNT(gd.goal_id) AS total_goals
FROM player_mast AS pm
JOIN goal_details AS gd ON pm.player_id = gd.player_id
GROUP BY pm.player_id, pm.player_name, gd.match_no
HAVING COUNT(gd.goal_id) > 2;","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;",1.0
2.1,Show all matches where the final score was a draw. Display the match number.,SELECT match_no FROM match_mast WHERE results = 'Draw',"SELECT 
    md1.match_no
FROM 
    match_details md1
JOIN 
    match_details md2
    ON md1.match_no = md2.match_no
    AND md1.team_id <> md2.team_id
WHERE 
    md1.goal_score = md2.goal_score
GROUP BY 
    md1.match_no, md1.goal_score
ORDER BY 
    md1.match_no;
",0.0
2.2,Tampilkan semua pertandingan yang berakhir imbang. Sertakan nomor pertandingan.,SELECT match_no FROM match_mast WHERE results = 'Draw',"SELECT 
    md1.match_no
FROM 
    match_details md1
JOIN 
    match_details md2
    ON md1.match_no = md2.match_no
    AND md1.team_id <> md2.team_id
WHERE 
    md1.goal_score = md2.goal_score
GROUP BY 
    md1.match_no, md1.goal_score
ORDER BY 
    md1.match_no;
",0.0
3.1,Which teams managed to win all their group stage matches? I need to see team_id and how many matches they won.,"SELECT team_id, won
FROM soccer_team
WHERE won = match_played AND match_played > 0;","SELECT team_id, COUNT(*) AS total_wins
  FROM match_details
  WHERE play_stage = 'G' AND win_lose = 'W'
  GROUP BY team_id
  HAVING COUNT(*) = (
  SELECT COUNT(*) FROM match_details md2
  WHERE md2.team_id = match_details.team_id AND play_stage = 'G'
  );",1.0
3.2,Tim mana saja yang menang terus di babak grup? Tampilkan team_id dan total menangnya.,"SELECT team_id, won
FROM soccer_team
WHERE won = match_played AND match_played > 0;","SELECT team_id, COUNT(*) AS total_wins
  FROM match_details
  WHERE play_stage = 'G' AND win_lose = 'W'
  GROUP BY team_id
  HAVING COUNT(*) = (
  SELECT COUNT(*) FROM match_details md2
  WHERE md2.team_id = match_details.team_id AND play_stage = 'G'
  );",1.0
4.1,"Can you list referees who led more than 3 matches? I want their referee_id, name, and total matches they officiated.","SELECT referee_id, referee_name, COUNT(match_no) AS total_matches
FROM referee_mast rm JOIN match_mast mm ON rm.referee_id = mm.referee_id
GROUP BY referee_id, referee_name
HAVING COUNT(match_no) > 3;","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
  FROM match_mast mm
  JOIN referee_mast rm ON mm.referee_id = rm.referee_id
  GROUP BY rm.referee_id, rm.referee_name
  HAVING COUNT(*) > 3;",0.0
4.2,"Saya ingin tahu wasit yang memimpin lebih dari 3 pertandingan. Tampilkan referee_id, nama wasit, dan jumlah pertandingan.","SELECT referee_id, referee_name, COUNT(match_no) AS num_matches
FROM referee_mast rm JOIN match_mast mm ON rm.referee_id = mm.referee_id
GROUP BY referee_id, referee_name
HAVING COUNT(match_no) > 3","SELECT rm.referee_id, rm.referee_name, COUNT(*) AS total_matches
  FROM match_mast mm
  JOIN referee_mast rm ON mm.referee_id = rm.referee_id
  GROUP BY rm.referee_id, rm.referee_name
  HAVING COUNT(*) > 3;",0.0
5.1,"Show me which players were both substituted in and out in the same game. Include player_id, name, and match number.","SELECT p.player_id, p.player_name, pio.match_no
FROM player_in_out pio
JOIN player_mast p ON pio.player_id = p.player_id
WHERE pio.in_out = 'I'
INTERSECT
SELECT p.player_id, p.player_name, pio.match_no
FROM player_in_out pio
JOIN player_mast p ON pio.player_id = p.player_id
WHERE pio.in_out = 'O';","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
  FROM player_in_out pio
  JOIN player_mast pm ON pio.player_id = pm.player_id
  WHERE EXISTS (
  SELECT 1 FROM player_in_out p2
  WHERE p2.player_id = pio.player_id AND p2.match_no = pio.match_no
  AND p2.in_out != pio.in_out
  );",1.0
5.2,"Tampilkan pemain yang pernah diganti masuk dan juga diganti keluar di satu pertandingan yang sama. Sertakan player_id, nama, dan nomor pertandingannya.","SELECT pm.player_id, pm.player_name, pio.match_no
FROM player_in_out AS pio
JOIN player_mast AS pm ON pio.player_id = pm.player_id
WHERE pio.in_out = 'I'
INTERSECT
SELECT pm.player_id, pm.player_name, pio.match_no
FROM player_in_out AS pio
JOIN player_mast AS pm ON pio.player_id = pm.player_id
WHERE pio.in_out = 'O';","SELECT DISTINCT pio.player_id, pm.player_name, pio.match_no
  FROM player_in_out pio
  JOIN player_mast pm ON pio.player_id = pm.player_id
  WHERE EXISTS (
  SELECT 1 FROM player_in_out p2
  WHERE p2.player_id = pio.player_id AND p2.match_no = pio.match_no
  AND p2.in_out != pio.in_out
  );",1.0
6.1,"Which players got a card and also scored a goal in the same match? I’d like to see player_id, player name, and match number.","SELECT pb.player_id, pm.player_name, pb.match_no
FROM player_booked AS pb
JOIN goal_details AS gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
JOIN player_mast AS pm ON pb.player_id = pm.player_id;","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
  FROM player_booked pb
  JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
  JOIN player_mast pm ON pb.player_id = pm.player_id;",0.0
