Question,Answer,Summary,Alternative Prompt 1 (English),Alternative Prompt 2 (Bahasa Indonesia),Expected Result
"Which players have scored more than 2 goals in a single match? Show player_id, player_name, match_no, and total_goals.","SELECT gd.player_id, pm.player_name, gd.match_no, COUNT(*) AS total_goals
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  GROUP BY gd.player_id, pm.player_name, gd.match_no
  HAVING COUNT(*) > 2;","This SQL query identifies players who scored more than 2 goals in a single match by joining the goal_details and player_mast tables. It groups by player_id, player_name, and match_no, then filters for groups with COUNT(*) > 2 using HAVING. The primary metric is total_goals per player per match. The output lists hat-trick (or better) performers with their match numbers, useful for analyzing exceptional scoring performances. Modifications could include: 1) Adding match details (date/opponent) for context, 2) Calculating goals as percentage of team total, or 3) Extending the timeframe to find players with multiple high-scoring matches. This query helps answer questions like 'Which players had the most dominant scoring performances?' or 'How frequently do players score hat-tricks?'","Can you show me the players who scored more than 2 goals in one game? I’d like to see their player_id, name, match number, and how many goals they scored.","Tolong tampilkan pemain yang mencetak lebih dari 2 gol dalam satu pertandingan. Saya mau lihat player_id, nama pemain, match_no, dan total golnya.","['player_id', 'player_name', 'match_no', 'total_goals']"
List cities with venues that hosted matches where more than 4 goals were scored. Show city and match_no.,"SELECT DISTINCT sc.city, gd.match_no
  FROM goal_details gd
  JOIN match_mast mm ON gd.match_no = mm.match_no
  JOIN soccer_venue sv ON mm.venue_id = sv.venue_id
  JOIN soccer_city sc ON sv.city_id = sc.city_id
  GROUP BY sc.city, gd.match_no
  HAVING COUNT(gd.goal_id) > 4;","This SQL query identifies cities that have hosted high-scoring matches (with more than 4 goals) by joining the 'goal_details', 'match_mast', 'soccer_venue', and 'soccer_city' tables. It groups results by city and match number, filtering for matches with over 4 goals using the HAVING clause. The output helps analyze which locations tend to host more offensive/exciting matches, which could be valuable for tournament planning and fan engagement strategies. Key modifications could include: 1) Adding goal differentials to distinguish close high-scoring games from blowouts, 2) Filtering by tournament stage or season to identify temporal patterns, or 3) Including team information to analyze if certain team matchups consistently produce high scores. This query could help answer questions like: 'Which cities host the most entertaining matches?', 'Are certain venues more conducive to high-scoring games?', or 'How does goal frequency vary by geographic location?'",Which cities hosted matches where more than 4 goals were scored? Show city and match number.,Kota mana yang punya pertandingan dengan lebih dari 4 gol? Saya mau lihat nama kota dan match_no-nya.,"['city', 'match_no']"
Which matches had more than 5 substitutions in total? Show match_no and total_subs.,"SELECT match_no, COUNT(*) AS total_subs
  FROM player_in_out
  GROUP BY match_no
  HAVING COUNT(*) > 5;","This SQL query identifies matches with an unusually high number of substitutions by analyzing data from the 'player_in_out' table. It counts all substitution events per match and filters for matches with more than 5 substitutions using GROUP BY and HAVING clauses. The output shows match numbers and their corresponding total substitution counts, highlighting matches with exceptional player rotation. This is valuable for analyzing tactical approaches, injury patterns, or rule variations in different competitions. Business applications include player workload management and tactical trend analysis. Potential modifications: 1) add team information to compare substitution patterns between teams, 2) filter by match phase to analyze when most substitutions occur, or 3) join with match results to assess substitution impact on outcomes. This query helps answer questions like 'Which matches had the most substitutions?' or 'Do more substitutions correlate with better results?'",Which matches had more than 5 total substitutions? Show match number and how many subs.,Pertandingan mana aja yang pergantian pemainnya lebih dari 5 kali? Tampilkan match_no dan jumlahnya.,"['match_no', 'total_subs']"
Find matches where players from both teams were booked. Show match_no and team_count_booked.,"SELECT match_no, COUNT(DISTINCT team_id) AS team_count_booked
  FROM player_booked
  GROUP BY match_no
  HAVING COUNT(DISTINCT team_id) = 2;","This SQL query identifies matches where both teams received at least one booking by analyzing data from the 'player_booked' table. It counts the distinct number of teams booked per match and filters for matches where exactly 2 teams were booked (both teams). Key operations include GROUP BY match_no and HAVING with COUNT(DISTINCT) to identify balanced disciplinary actions. The output shows match numbers and confirms both teams received bookings, useful for analyzing match intensity and referee consistency. Business applications include disciplinary trend analysis and referee performance evaluation. Potential modifications: 1) add booking counts per team to compare severity, 2) join with match results to assess if bookings correlate with outcomes, or 3) filter by competition level to analyze booking patterns. This query helps answer questions like 'How often do both teams get booked in a match?' or 'Do high-intensity matches produce more balanced bookings?'",Find games where both teams had players getting booked. Show match number and how many teams got cards.,Pertandingan mana aja yang kedua timnya punya pemain yang kena kartu? Tampilkan match_no dan jumlah tim yang kena kartu.,"['match_no', 'team_count_booked']"
"Identify players who have been booked and also scored in the same match. Show player_id, player_name, and match_no.","SELECT DISTINCT pb.player_id, pm.player_name, pb.match_no
  FROM player_booked pb
  JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no
  JOIN player_mast pm ON pb.player_id = pm.player_id;","This SQL query identifies players who were both booked (received a card) and scored a goal in the same match by joining the player_booked, goal_details, and player_mast tables. The query matches players across booking and goal events for the same match (pb.player_id = gd.player_id AND pb.match_no = gd.match_no), then joins with player_mast to get player names. The output shows distinct player IDs, names, and match numbers where this occurred, highlighting players who were impactful (scoring) but also disciplined (booked) in the same game. This is useful for analyzing player behavior and match dynamics. The query could be modified by: 1) Adding card type (yellow/red) to assess severity, 2) Including match outcome to see if these events affect results, or 3) Calculating time between booking and goal to analyze emotional impact. This helps answer questions like 'Which players frequently combine goals with disciplinary actions?' or 'Does scoring after being booked affect subsequent performance?'","Which players got a card and also scored a goal in the same match? I’d like to see player_id, player name, and match number.","Siapa saja pemain yang dapat kartu dan cetak gol di pertandingan yang sama? Tampilkan player_id, nama pemain, dan nomor pertandingannya.","['player_id', 'player_name', 'match_no']"
Find all matches where the same player was the goalkeeper and scored a goal. Show match_no and player_id.,"SELECT DISTINCT md.match_no, md.player_gk AS player_id
  FROM match_details md
  JOIN goal_details gd ON md.player_gk = gd.player_id AND md.match_no = gd.match_no;","This SQL query identifies goalkeepers who conceded goals in matches they played, by joining the 'match_details' and 'goal_details' tables on both match number and goalkeeper player ID. The query returns distinct match numbers and goalkeeper IDs where the goalkeeper was scored against. Key operations include a multi-condition JOIN and DISTINCT selection to avoid duplicates. The output reveals matches where goalkeepers were unable to keep a clean sheet, which could indicate defensive weaknesses or strong opposition attacks. Business applications include player performance analysis and scouting reports. Potential modifications: 1) add goalkeeper names for identification, 2) include goal counts to see how many goals were conceded, or 3) join with team data to analyze team defensive performance. This query helps answer questions like 'Which goalkeepers concede the most goals?' or 'How often do goalkeepers get scored against in matches they play?'",List matches where the goalkeeper was also the one who scored a goal. Show match number and player ID.,Pertandingan mana yang kipernya juga cetak gol? Saya mau lihat match_no dan player_id-nya.,"['match_no', 'player_id']"
"Find players who scored goals in both halves of a match. Show player_id, player_name, match_no.","SELECT DISTINCT gd.player_id, pm.player_name, gd.match_no
  FROM goal_details gd
  JOIN player_mast pm ON gd.player_id = pm.player_id
  WHERE goal_half = 1
  AND EXISTS (
  SELECT 1 FROM goal_details gd2
  WHERE gd2.player_id = gd.player_id AND gd2.match_no = gd.match_no AND gd2.goal_half = 2
  );","This SQL query identifies players who scored goals in both halves of a match by analyzing the goal_details table. The query joins with player_mast to get player names and uses an EXISTS subquery to verify each player scored in both halves (goal_half = 1 and 2) of the same match. The output shows distinct player IDs, names, and match numbers where this occurred, highlighting consistent performers throughout matches. This is valuable for analyzing player endurance and match impact. The query could be enhanced by: 1) Adding team information to see which clubs have such players, 2) Including goal times to analyze scoring patterns, or 3) Calculating win percentages when players score in both halves. It helps answer questions like 'Which players maintain performance throughout entire matches?' or 'How does scoring in both halves affect match outcomes?'","Can you show players who scored in both the first and second halves of a game? I want player_id, name, and match number.","Tampilkan pemain yang cetak gol di babak pertama dan kedua di satu pertandingan. Saya mau lihat player_id, nama, dan match_no-nya.","['player_id', 'player_name', 'match_no']"
Find matches where the same player was involved in a penalty shootout (without considering success or not) and scored when not penalty. Show match_no and player_id.,"SELECT ps.match_no, ps.player_id
FROM penalty_shootout ps
JOIN goal_details gd ON ps.match_no = gd.match_no AND ps.player_id = gd.player_id
WHERE gd.goal_type IS DISTINCT FROM 'P';","This SQL query identifies players who participated in penalty shootouts but scored non-penalty goals during regular match time by joining the 'penalty_shootout' and 'goal_details' tables on match and player IDs. The query uses IS DISTINCT FROM to filter for goals where goal_type is not 'P' (penalty), revealing players who contributed both in open play and shootouts. The output lists match numbers and player IDs, useful for analyzing versatile scorers. Key modifications could include: (1) adding player names and team information for context, (2) including the actual goal types to categorize non-penalty goals, or (3) counting occurrences per player to identify the most versatile scorers. This query helps answer questions like 'Which penalty shootout participants also score in regular play?' or 'How common is it for shootout specialists to score other types of goals?'",Find matches where a player took part in a penalty shootout (dont consider success or not) and also scored a non-penalty goal. Show match_no and player_id.,Cari pertandingan di mana seorang pemain ikut dalam adu penalti (tidak peduli masuk atau tidak) dan juga mencetak gol (bukan dari penalti). Tampilkan match_no dan player_id.,"['match_no', 'player_id']"
Show all matches where the final score was a draw. Show match_no.,"SELECT 
    md1.match_no
FROM 
    match_details md1
JOIN 
    match_details md2
    ON md1.match_no = md2.match_no
    AND md1.team_id <> md2.team_id
WHERE 
    md1.goal_score = md2.goal_score
GROUP BY 
    md1.match_no, md1.goal_score
ORDER BY 
    md1.match_no;
","This SQL query identifies football matches where both teams scored the same number of goals (draws) by joining the 'match_details' table to itself on matching match numbers but different team IDs, then filtering for equal goal scores. The query groups by match number and goal score to ensure unique results and orders by match number. The output provides a list of drawn matches, which is useful for analyzing competitive balance or team performance under tied conditions. Key modifications could include: (1) adding team names by joining with a 'teams' table to enhance readability, (2) filtering for specific tournaments or dates to analyze draw frequency in particular contexts, or (3) counting total draws per team to assess their tendency to tie. This query could answer questions like 'Which matches ended in draws?' or 'How often does a particular team draw?'.",Show all matches where the final score was a draw. Display the match number.,Tampilkan semua pertandingan yang berakhir imbang. Sertakan nomor pertandingan.,['match_no']
List all teams whose players have been both booked and scored in the same match. Show team_id and match_no.,"SELECT DISTINCT pb.team_id, pb.match_no
  FROM player_booked pb
  JOIN goal_details gd ON pb.player_id = gd.player_id AND pb.match_no = gd.match_no;","This SQL query identifies teams and matches where players who received bookings also scored goals, by joining the 'player_booked' and 'goal_details' tables on both player_id and match_no. The query returns distinct team_id and match_no combinations where this occurred. Key operations include a multi-condition JOIN and DISTINCT selection to avoid duplicates. The output reveals matches with players who both scored and were booked, which could indicate high-intensity or contentious games. Business applications include analyzing player performance under pressure or identifying potentially volatile matches. Potential modifications: 1) add player names to identify individuals who both scored and were booked, 2) include booking severity to assess if goal-scorers receive more serious bookings, or 3) join with match results to see if these incidents correlate with specific outcomes. This query helps answer questions like 'Which matches feature players who both score and get booked?' or 'Is there a relationship between scoring and disciplinary actions?'",List all teams where there is a player that has been both booked and scored in the same match. Show team_id and match_no.,Pertandingan mana aja yang ada pemain dari satu tim yang cetak gol dan juga kena kartu? Saya mau lihat team_id dan match_no.,"['team_id', 'match_no']"
