prompt,is_related,predicted_is_related_baseline,predicted_is_related
Which actor has never appeared in any R-rated movie?,1,0,1
Which language shows up the most in our movie list?,1,1,1
Which customers have rented the same film more than once?,1,1,1
Which movies are in the top 10% by total revenue?,1,1,1
Bahasa apa yang paling sering muncul di daftar film kita?,1,1,1
Which films have been rented more than the average number of rentals for their category?,1,1,1
Who are the top 5 customers based on how many movies they've rented?,1,1,1
Siapa pelanggan yang sudah menyewa semua film dalam satu genre (misalnya genre 'Action')?,1,1,1
Siapa staf yang memproses pembayaran dengan total terbesar?,1,1,1
Which films are in the top 5 most rented film categories?,1,1,1
"Are there any movies in our collection that have never been rented at all, across any store?",1,1,1
How many different last_name values are there among all the actors?,1,1,1
Which customers have rented films from exactly 2 categories?,1,1,1
Which actors have never appeared in any films with a rating of 'R'?,1,1,1
Which films were never rented but are in the 5 most rented film categories?,1,1,1
Ada gak pelanggan yang nyewa film dari tepat 2 kategori?,1,1,1
Tampilkan daftar film yang disewakan pada bulan Januari.,1,1,1
Siapa pelanggan yang paling sering menyewa film horor?,1,1,1
Berapa total pendapatan dari penyewaan film tahun 2024?,1,1,1
Film apa yang memiliki rating tertinggi dari pelanggan?,1,1,1
Berapa jumlah pelanggan yang berasal dari kota Jakarta?,1,1,1
Apa saja nama film yang belum pernah disewa?,1,1,1
Siapa aktor yang membintangi film terbanyak?,1,0,1
Tampilkan 5 pelanggan terakhir yang menyewa film.,1,1,1
Berapa banyak film yang berdurasi lebih dari 2 jam?,1,1,1
Apa genre film yang paling banyak disewa tahun ini?,1,1,1
Tampilkan rata-rata lama penyewaan film.,1,1,1
Siapa pelanggan yang menyewa film terbanyak dalam 1 minggu?,1,1,1
Film apa yang disewa oleh pelanggan bernama Andi?,1,1,1
Berapa jumlah total penyewaan dalam satu hari?,1,1,1
Siapa staf yang memproses penyewaan terbanyak?,1,1,1
Apa saja film yang disutradarai oleh Steven Spielberg?,1,1,1
Tampilkan daftar film dengan judul mengandung kata 'Cinta'.,1,1,1
Berapa banyak pelanggan yang memiliki nama depan 'Budi'?,1,1,1
Tampilkan film yang disewa pada tanggal 1 Januari 2023.,1,1,1
Apa film pertama yang disewa oleh pelanggan ID 102?,1,1,1
Tampilkan pelanggan yang belum pernah menyewa film.,1,1,1
Siapa aktor dengan nama belakang 'Santoso'?,1,1,1
