Question,Answer,Summary,Alternative Prompt 1 (English),Alternative Prompt 2 (Bahasa Indonesia),Expected Result
"Which faculty has the most research projects? If there is a tie, show any of the tying faculty. Show the nama and total_proyek.","SELECT f.nama, COUNT(p.id_proyek) AS total_proyek
  FROM Fakultas f
  JOIN ProyekPenelitian p ON f.id_fakultas = p.id_fakultas
  GROUP BY f.nama
  ORDER BY total_proyek DESC
  LIMIT 1;","This SQL query identifies the faculty with the highest number of research projects by joining the 'Fakultas' (Faculty) and 'ProyekPenelitian' (Research Projects) tables. It counts projects per faculty and returns the faculty with the most projects, highlighting research activity distribution across faculties. The output helps academic institutions understand research productivity and allocate resources effectively. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top faculty. The query can be modified to: 1) include time periods to analyze research trends, 2) add funding amounts to assess financial impact, or 3) filter by project status to focus on active research. It helps answer questions like 'Which faculty leads in research output?' and 'How should research funding be allocated across faculties?'",canyOu teLLzz HIhwEM facutYzz diD EhT MOST hCrESE proJeCTS Ix JUst123 NEEd RET eMaN (AMa) an THE123 nUMbeR oF123 sTcEJoRp (OtAL_ROYEk).,fAkUlTaS ANaYaNGzz KaynaBgniLAp biKIN naIILeEpKEYOrP taMpiLkan Nama(naMa) nAD HAlUJ prOeKYa(tOtAL_ProyK).,"['nama', 'total_proyek']"
"Which lecturer supervises the most students? If there is a tie, show any of the tying lecturer. Show nama and total_mahasiswa_dibimbing.","SELECT d.nama, COUNT(m.id_mahasiswa) AS total_mahasiswa_dibimbing
  FROM Dosen d
  JOIN Mahasiswa m ON d.id_dosen = m.id_pembimbing
  GROUP BY d.nama
  ORDER BY total_mahasiswa_dibimbing DESC
  LIMIT 1;","This SQL query identifies the lecturer supervising the most students by joining the 'Dosen' (Lecturers) and 'Mahasiswa' (Students) tables. It counts the number of students supervised by each lecturer and returns the lecturer with the highest count, providing insights into academic advising workloads. The output helps academic institutions balance advising responsibilities and recognize faculty contributions. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top lecturer. The query can be modified to: 1) include student academic performance metrics to assess advising effectiveness, 2) filter by student year to analyze advising distribution across classes, or 3) add department information to understand advising patterns across disciplines. It helps answer questions like 'Which lecturer has the heaviest advising load?' and 'How should advising responsibilities be distributed among faculty?'",i’M CUrIoUS whICh LerERguIdeSThe Tsm tuDETS.pLeASEzz Showzz theR nam )aMAN( dN hownY STuDnTsthey SUeRVISe(otAL_mAHasiswa_dibMbInG.,DoSE mANAx yaNG NgeBIBng MAhaSiS paLInx baNYAK? AKU123 Butuh NmAnY NaMA) Nad LAtOt mAAsISWa YNNgnibMIB (OTAL_MAasisWadibIbing).x,"['nama', 'total_mahasiswa_dibimbing']"
"Which student has attended the most sessions? If there is a tie, show any of the student. Show nama and total_kehadiran.","SELECT m.nama, COUNT(k.id_kehadiran) AS total_kehadiran
  FROM Mahasiswa m
  JOIN CatatanKehadiran k ON m.id_mahasiswa = k.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_kehadiran DESC
  LIMIT 1;","This SQL query identifies the student with the highest attendance record by joining the 'Mahasiswa' (Students) and 'CatatanKehadiran' (Attendance Records) tables. It counts attendance records per student and returns the student with the most attendances, highlighting exemplary attendance behavior. The output helps academic institutions recognize students with perfect attendance and monitor class participation. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top student. The query can be modified to: 1) filter by date range to analyze attendance patterns during specific periods, 2) include course information to identify attendance by subject, or 3) calculate attendance percentages rather than absolute counts. It helps answer questions like 'Which student has the best attendance record?' and 'How can we improve overall class attendance rates?'",WHICh tUDen JOIeD EhT mOS sESSOnS izz TNaw t sEE EIR NAm123 (NA) And123 ynamWOH SESsIonS tHEy123 aTtENDE (tOtAL_keAdIran).,MahasIsWA mAnayAg PAliNGRAjIn123 ikutsesi KELAs? KSIh Lat nAma (nAA)danzz jUmlah keHaDiRANnYA123 (otaL_KehADIRAn).,"['nama', 'total_kehadiran']"
"What are the top 5 courses with the highest number of enrolled students? If there is a tie, show only top 5 with any of the tying courses. Show judul and total_mahasiswa.","SELECT mk.judul, COUNT(e.id_mahasiswa) AS total_mahasiswa
  FROM MataKuliah mk
  JOIN Sesi s ON mk.id_mk = s.id_mk
  JOIN EnrolmenKelas e ON s.id_sesi = e.id_sesi
  GROUP BY mk.judul
  ORDER BY total_mahasiswa DESC
  LIMIT 5;","This SQL query identifies the top 5 most popular courses by counting student enrollments across class sessions. It joins the 'MataKuliah' (Courses), 'Sesi' (Class Sessions), and 'EnrolmenKelas' (Class Enrollments) tables to track student registration in each course. The output helps academic institutions understand course demand and allocate teaching resources effectively. Key operations include multi-table JOINs, COUNT aggregation, and ORDER BY with LIMIT to highlight the most enrolled courses. The query can be modified to: 1) filter by semester to analyze enrollment trends over time, 2) include instructor information to assess teaching popularity, or 3) calculate enrollment percentages relative to class capacity. It helps answer questions like 'Which courses are in highest demand?' and 'How should we allocate classroom resources?'",wHAT RA The TO123 5x TsM pOpULAr coURSes?123 How mEtHex esuOC TitLe jUDUl)zz aNd how maNySudenTs enIoJ (OAL_mahASisw).,Top 5 ATkul yNg pLNg BANyak DIabilx ApAs AJA ya? TAmpILkan Judu mAtlnyA )lUduj( NaD jULahzz mhASISWa (TOtAl_MhaSIwA).,"['judul', 'total_mahasiswa']"
"Which faculty uses the most facilities? If there is a tie, show any of the tying faculty. Show nama and total_fasilitas.","SELECT f.nama, COUNT(ff.id_fasilitas) AS total_fasilitas
  FROM Fakultas f
  JOIN FasilitasFakultas ff ON f.id_fakultas = ff.id_fakultas
  GROUP BY f.nama
  ORDER BY total_fasilitas DESC 
  LIMIT 1;","This SQL query identifies the faculty with the highest number of associated facilities by joining the 'Fakultas' and 'FasilitasFakultas' tables on 'id_fakultas', counting the number of facilities per faculty (via COUNT on 'id_fasilitas'), grouping by faculty name, and returning only the top result using ORDER BY and LIMIT. The output includes the faculty name and its corresponding total facility count, useful for assessing resource concentration or allocation across faculties. Analysts could modify this query to return the top N faculties by adjusting or removing the LIMIT clause, or to include additional faculty metadata (e.g., faculty head or location) by joining with other related tables. The query could support questions like 'Which faculty manages the most physical assets?' or 'Are facilities distributed evenly across faculties?'.",WhIchFACLtY USeS EhT MOst FacIItIES?zz i123 DEEn thE fAcUlty EMaN (nAma) AND eHt nUMBEr Of FAciLITeS123 UsEDzz (TotL_asILitAs).x,FAKuLtAS NAm yAng palNg bAnyAK PkeFasILiTa?x akuzz maUx liAT AAn (nAmA) DaN mlah123 fasLItaSNyA (tOTL_fasILtaS).,"['nama', 'total_fasilitas']"
"Which course has the highest average exam score? If there is a tie, show any of the tying courses. Show judul and rata_rata_nilai.","SELECT mk.judul, AVG(h.nilai_diperoleh) AS rata_rata_nilai
  FROM MataKuliah mk
  JOIN Ujian u ON mk.id_mk = u.id_mk
  JOIN HasilUjian h ON u.id_ujian = h.id_ujian
  GROUP BY mk.judul
  ORDER BY rata_rata_nilai DESC
  LIMIT 1;","This SQL query identifies the course with the highest average exam scores by joining the 'MataKuliah' (Courses), 'Ujian' (Exams), and 'HasilUjian' (Exam Results) tables. It calculates the average exam score for each course and returns the course with the highest average, providing insight into academic performance across different subjects. The output helps educators identify teaching strengths and potentially recognize effective instructional methods. Key operations include multi-table JOINs, AVG aggregation, and ORDER BY with LIMIT to highlight the top-performing course. The query can be modified to: 1) filter by semester to analyze performance trends over time, 2) include instructor information to assess teaching effectiveness, or 3) compare with enrollment numbers to examine the relationship between class size and performance. It helps answer questions like 'Which course has the highest student achievement?' and 'What teaching methods contribute to better exam results?'",hiC CoUrsEHs thE123 EgaEatsEb MAe sCore? SHO METE tiLe (JUdL)aNd THe avEage scRE(AA_tA_iLai).123,MATKUl Anam YANg niLAI ujiANnyA pAIng IggNIT RATA-rATANyAzz kaiHzz uAT JudUlzz (juDuL) dAn naI Ta-rat (raT_Ata_Lai).,"['judul', 'rata_rata_nilai']"
"Which lecturer has authored the most publications? If there is a tie, show any of the tying lecturer. Show nama and total_publikasi.","SELECT d.nama, COUNT(p.id_publikasi) AS total_publikasi
  FROM Dosen d
  JOIN PenulisPublikasi pp ON d.id_dosen = pp.id_dosen
  JOIN Publikasi p ON pp.id_publikasi = p.id_publikasi
  GROUP BY d.nama
  ORDER BY total_publikasi DESC
  LIMIT 1;","This SQL query identifies the most published faculty member by counting publications per lecturer across the 'Dosen' (Lecturers), 'PenulisPublikasi' (Publication Authors), and 'Publikasi' (Publications) tables. It returns the lecturer with the highest publication count, highlighting research productivity. The output helps academic institutions recognize research excellence and inform promotion decisions. Key operations include multi-table JOINs, COUNT aggregation, and ORDER BY with LIMIT to identify the top researcher. The query can be modified to: 1) filter by publication year to analyze recent productivity, 2) include publication impact metrics, or 3) group by department to compare research output across disciplines. It helps answer questions like 'Who is our most published faculty member?' and 'How should we allocate research resources?'",SiOhw thelecuRR wItH THe123 MOSt snoTaCILBup jUstzz shw123 rIEhT nAMe (n) ANd hOw MAny ev’YeT DErOhTUa (OTALPubLIKasI).,NEsoD ANam YAG pAlInG BANYa NulispublIKaS? tunukIn NaMaNYa )amn( dAn123 ToTAl AYNiSAKiLBuP (tTaL_puBLiki).,"['nama', 'total_publikasi']"
"Which student has participated in the most research projects? If there is a tie, show any of the tying student. Show nama and total_partisipasi.","SELECT m.nama, COUNT(pp.id_proyek) AS total_partisipasi
  FROM Mahasiswa m
  JOIN PartisipasiPenelitian pp ON m.id_mahasiswa = pp.id_mahasiswa
  GROUP BY m.nama
  ORDER BY total_partisipasi DESC
  LIMIT 1;","This SQL query identifies the student with the highest research participation by counting research projects per student across the 'Mahasiswa' (Students) and 'PartisipasiPenelitian' (Research Participation) tables. It returns the student involved in the most research projects, highlighting undergraduate research engagement. The output helps academic institutions recognize research-active students and assess undergraduate research opportunities. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top participant. The query can be modified to: 1) filter by project type to analyze participation in specific research areas, 2) include project outcomes to assess student research impact, or 3) group by academic year to track participation trends. It helps answer questions like 'Which student is most engaged in research?' and 'How can we increase undergraduate research opportunities?'",hCIHw TNeDutS haS deNiOJ eht tsom rseaRCh PRojECTS? I Een ThER123 AMe(nAma) aNd THe TotLx rEbuN (Otl_pARTiSPASi),maHASiSWA anam YaNg pALIG sERIng iKuT123 pryK ?naitileNP TuNjukInnAmAYazz NaMa) dAnx JumLH PaRtIspASnyAzz (TotaL_pARISiPAsi).,"['nama', 'total_partisipasi']"
"Which student has borrowed the most books? If there is a tie, show smallest student id. Show id_peminjam and total_peminjaman.","SELECT id_peminjam, COUNT(*) AS total_peminjaman
FROM PeminjamanBuku
WHERE id_peminjam IN (SELECT id_mahasiswa FROM Mahasiswa)
GROUP BY id_peminjaman
ORDER BY id_peminjaman ASC
LIMIT 1;","This SQL query identifies the total number of book loans per borrower, specifically focusing on students by filtering borrowers who exist in the Mahasiswa table. It sources data from the PeminjamanBuku table, groups records by borrower ID (id_peminjam), counts the loans per borrower, and returns the first entry sorted by borrower ID. The query's primary purpose is to track student borrowing activity, useful for library resource management. Key operations include a subquery filter, COUNT aggregation, and sorting. Potential modifications include: (1) adding a HAVING clause to filter borrowers with loans above a threshold, (2) joining with Mahasiswa to include student names in output, or (3) removing the LIMIT to analyze all students. This query could answer questions like 'Which students borrow the most books?' or 'How many students have borrowed at least X books?'","wHO’s dewOrRob Th mosTzz boOk aNG stUDENts, iF123 TIE123 WOhS TsELlAmS STuDNt id? PLSE SHOW tHezz I (Id_pmInjam) dNa totAbORW cOnT (TAl_PEmNJamAN).x",siAA gaY pLinG SErinG MIJex bUku ID ntarASiwA-iSWA ?ajAs IliP iD TRKecil JiKax aDA yAng Ama. AkumAU d-Nyazz (id_PemINjM)dan tOAl123 PinJAMaNnYA(TotA_pEinAmA).,"['id_peminjam', 'total_peminjaman']"
"Which club has the most active members? If there is a tie, show any of the tying club. Show nama and total_anggota.","SELECT k.nama, COUNT(kk.id_mahasiswa) AS total_anggota
  FROM OrganisasiKlub k
  JOIN KeanggotaanKlub kk ON k.id_klub = kk.id_klub
  GROUP BY k.nama
  ORDER BY total_anggota DESC
  LIMIT 1;","This SQL query identifies the most popular student club by counting members per club across the 'OrganisasiKlub' (Club Organizations) and 'KeanggotaanKlub' (Club Memberships) tables. It returns the club with the highest membership count, providing insight into student engagement in extracurricular activities. The output helps student affairs offices understand club popularity and allocate resources accordingly. Key operations include a table JOIN, COUNT aggregation, and ORDER BY with LIMIT to identify the top club. The query can be modified to: 1) include member demographics to analyze participation patterns, 2) filter by academic year to track club popularity trends, or 3) join with event data to assess club activity levels. It helps answer questions like 'Which student club has the most members?' and 'How can we support student engagement in extracurriculars?'",WHiCHx bUlC aS hEmOsT MBERs?123 shOwte NaMEx (Nama)123 anD ToTaLx eMBErs .)aTOgga_ltot(,lubx mnax yag aynAToGGA PalINg BanYAk? hisAk tAuNama ayNbULk AMAn( da JMLaH aGGTzz (toAl_aNGOt.,"['nama', 'total_anggota']"
