prompt,tables_used,predicted_tables,schema_accuracy,schema_reduction
Can you tell me which faculty did the most research projects? I just need their name (nama) and the number of projects (total_proyek).,"['fakultas', 'proyekpenelitian']","['jurusan', 'fakultas', 'keanggotaanklub', 'partisipasipenelitian', 'organisasiklub', 'bukuperpustakaan', 'dosen', 'mahasiswa', 'peminjamanbuku', 'proyekpenelitian']",1.0,0.5454545454545454
I’m curious which lecturer guides the most students. Please show their name (nama) and how many students they supervise (total_mahasiswa_dibimbing).,"['mahasiswa', 'dosen']","['jurusan', 'catatankehadiran', 'fakultas', 'sesi', 'keanggotaanklub', 'partisipasipenelitian', 'organisasiklub', 'dosen', 'mahasiswa', 'proyekpenelitian']",1.0,0.5454545454545454
Which student joined the most sessions? I want to see their name (nama) and how many sessions they attended (total_kehadiran).,"['mahasiswa', 'catatankehadiran']","['jurusan', 'catatankehadiran', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'sesi', 'organisasiklub', 'dosen', 'mahasiswa']",1.0,0.5909090909090908
What are the top 5 most popular courses? Show me the course title (judul) and how many students joined (total_mahasiswa).,"['matakuliah', 'sesi', 'enrolmenkelas']","['kelas', 'jurusan', 'matakuliah', 'fakultas', 'keanggotaanklub', 'organisasiklub', 'dosen', 'mahasiswa']",0.3333333333333333,0.6363636363636364
Which faculty uses the most facilities? I need the faculty name (nama) and the number of facilities used (total_fasilitas).,"['fakultas', 'fasilitasfakultas']","['jurusan', 'fakultas', 'keanggotaanklub', 'organisasiklub', 'fasilitas', 'fasilitasfakultas', 'dosen', 'mahasiswa']",1.0,0.6363636363636364
Which course has the best average exam score? Show me the title (judul) and the average score (rata_rata_nilai).,"['matakuliah', 'hasilujian', 'ujian']","['ujian', 'matakuliah', 'jurusan', 'fakultas', 'keanggotaanklub', 'hasilujian', 'organisasiklub', 'bukuperpustakaan', 'dosen', 'mahasiswa', 'peminjamanbuku']",1.0,0.5
Who is the lecturer with the most publications? Just show their name (nama) and how many they’ve authored (total_publikasi).,"['publikasi', 'penulispublikasi', 'dosen']","['penulispublikasi', 'publikasi', 'catatankehadiran', 'fakultas', 'sesi', 'partisipasipenelitian', 'organisasiklub', 'dosen', 'mahasiswa', 'proyekpenelitian']",1.0,0.5454545454545454
Which student has joined the most research projects? I need their name (nama) and the total number (total_partisipasi).,"['partisipasipenelitian', 'mahasiswa']","['jurusan', 'catatankehadiran', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'partisipasipenelitian', 'sesi', 'organisasiklub', 'dosen', 'mahasiswa', 'proyekpenelitian']",1.0,0.5
"Who’s borrowed the most books among students, if tie show smallest student id? Please show the ID (id_peminjam) and total borrow count (total_peminjaman).","['mahasiswa', 'peminjamanbuku']","['ujian', 'jurusan', 'fakultas', 'keanggotaanklub', 'hasilujian', 'organisasiklub', 'bukuperpustakaan', 'dosen', 'mahasiswa', 'peminjamanbuku']",1.0,0.5454545454545454
Which club has the most members? Show the name (nama) and total members (total_anggota).,"['keanggotaanklub', 'organisasiklub']","['jurusan', 'fakultas', 'keanggotaanklub', 'organisasiklub', 'bukuperpustakaan', 'dosen', 'mahasiswa', 'peminjamanbuku']",1.0,0.6363636363636364
"Which student has the highest exam score total? I want to see id_mahasiswa, nama, and total_score.","['mahasiswa', 'hasilujian']","['ujian', 'jurusan', 'catatankehadiran', 'fakultas', 'sesi', 'keanggotaanklub', 'hasilujian', 'organisasiklub', 'dosen', 'mahasiswa']",1.0,0.5454545454545454
"Can you list all faculties and show how many research projects, publications, and active lecturers each has? Show nama, total_proyek, total_publikasi, total_dosen_aktif.","['dosen', 'fakultas', 'proyekpenelitian', 'penulispublikasi', 'publikasi']","['ujian', 'penulispublikasi', 'publikasi', 'catatankehadiran', 'fakultas', 'sesi', 'keanggotaanklub', 'partisipasipenelitian', 'organisasiklub', 'hasilujian', 'dosen', 'mahasiswa', 'proyekpenelitian']",1.0,0.40909090909090906
"Which lecturer has taught the most different subjects? Show me their id_dosen, nama, and how many subjects (total_mk_diajar).","['matakuliah', 'sesi', 'dosen']","['jurusan', 'fakultas', 'keanggotaanklub', 'partisipasipenelitian', 'organisasiklub', 'bukuperpustakaan', 'dosen', 'mahasiswa', 'peminjamanbuku', 'proyekpenelitian']",0.3333333333333333,0.5454545454545454
"Who are the top 3 students with the best total participation scores? I want id_mahasiswa, nama, and total_partisipasi.","['mahasiswa', 'enrolmenkelas']","['jurusan', 'catatankehadiran', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'partisipasipenelitian', 'sesi', 'organisasiklub', 'dosen', 'mahasiswa', 'proyekpenelitian']",1.0,0.5
"Which students joined more than 2 projects and are in a club? Show id_mahasiswa, nama, total_proyek, and total_klub.","['partisipasipenelitian', 'mahasiswa', 'keanggotaanklub']","['jurusan', 'catatankehadiran', 'fakultas', 'enrolmenkelas', 'keanggotaanklub', 'partisipasipenelitian', 'organisasiklub', 'sesi', 'dosen', 'mahasiswa', 'proyekpenelitian']",1.0,0.5
"What are the top 5 facilities with the highest average access? Show id_fasilitas, nama, and avg_akses.","['fasilitas', 'fasilitasfakultas']","['publikasi', 'jurusan', 'fakultas', 'keanggotaanklub', 'organisasiklub', 'fasilitas', 'fasilitasfakultas', 'dosen', 'mahasiswa']",1.0,0.5909090909090908
"Find me lecturers who both supervise students and publish papers. Show id_dosen, nama, total_mahasiswa_bimbingan, total_publikasi.","['mahasiswa', 'penulispublikasi', 'dosen']","['ujian', 'penulispublikasi', 'publikasi', 'jurusan', 'catatankehadiran', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'partisipasipenelitian', 'organisasiklub', 'hasilujian', 'sesi', 'dosen', 'mahasiswa', 'proyekpenelitian']",1.0,0.31818181818181823
"Which students both borrow books and attend 10+ sessions? Show id_mahasiswa, nama, total_buku_dipinjam, total_sesi.","['mahasiswa', 'catatankehadiran', 'peminjamanbuku']","['ujian', 'matakuliah', 'jurusan', 'catatankehadiran', 'fakultas', 'sesi', 'keanggotaanklub', 'partisipasipenelitian', 'hasilujian', 'organisasiklub', 'bukuperpustakaan', 'dosen', 'mahasiswa', 'peminjamanbuku', 'proyekpenelitian']",1.0,0.31818181818181823
"Which courses include both a session and an exam? Just show id_mk, judul, avg_nilai_akhir, and avg_nilai_ujian.","['ujian', 'matakuliah', 'hasilujian', 'sesi', 'nilai']","['ujian', 'matakuliah', 'jurusan', 'catatankehadiran', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'sesi', 'hasilujian', 'organisasiklub', 'bukuperpustakaan', 'dosen', 'mahasiswa', 'peminjamanbuku']",0.8,0.36363636363636365
"Which faculties have the most variety of student majors participating in clubs? Show me id_fakultas, nama, and how many different majors those club members come from call it total_jurusan_klub. Sort by that in descending order.","['mahasiswa', 'fakultas', 'jurusan', 'keanggotaanklub']","['ujian', 'jurusan', 'matakuliah', 'fakultas', 'keanggotaanklub', 'organisasiklub', 'fasilitas', 'hasilujian', 'fasilitasfakultas', 'dosen', 'bukuperpustakaan', 'mahasiswa', 'peminjamanbuku']",1.0,0.40909090909090906
"Which faculty head teach at least one course? Show id_kepala, nama_dosen, and jumlah_mk_diajar.","['fakultas', 'matakuliah', 'dosen']","['jurusan', 'fakultas', 'keanggotaanklub', 'partisipasipenelitian', 'organisasiklub', 'bukuperpustakaan', 'dosen', 'mahasiswa', 'peminjamanbuku', 'proyekpenelitian']",0.6666666666666666,0.5454545454545454
"List students who got a grade for every course they attended. Show id_mahasiswa, nama, and jumlah_mk.","['mahasiswa', 'sesi', 'enrolmenkelas', 'nilai']","['publikasi', 'jurusan', 'catatankehadiran', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'sesi', 'organisasiklub', 'dosen', 'mahasiswa']",0.75,0.5454545454545454
"Which students both did research and got a grade above 85? Show id_mahasiswa, nama, total_proyek yang berbeda, nilai_tertinggi. Sort by grade descending","['partisipasipenelitian', 'mahasiswa', 'nilai']","['ujian', 'nilai', 'matakuliah', 'jurusan', 'catatankehadiran', 'enrolmenkelas', 'fakultas', 'keanggotaanklub', 'partisipasipenelitian', 'hasilujian', 'organisasiklub', 'sesi', 'dosen', 'mahasiswa', 'proyekpenelitian']",1.0,0.31818181818181823
